,datetime,mode1_d,mode1_d_mad,mode1_d_iqr,mode1_d_max,mode1_d_min,mode1_sigma,NSD1_sum,NSD1_sum_mad,NSD1_sum_iqr,NSD1_sum_max,NSD1_sum_min,mode2_d,mode2_d_mad,mode2_d_iqr,mode2_d_max,mode2_d_min,mode2_sigma,NSD2_sum,NSD2_sum_mad,NSD2_sum_iqr,NSD2_sum_max,NSD2_sum_min,n_measurements,window_id
0,2016-08-16 09:00:00,49.25204498655855,5.28575135904736,7.344742193591259,56.74654359310128,42.747342512203495,1.75,132.51482938730965,29.20554304249233,76.12953899147702,209.13441831092996,97.56676290558184,186.68632197417872,13.313678025821304,24.859337383632578,200.00000000000003,158.281588926413,1.75,149.54310123492064,6.156552924473871,13.01938437160436,160.6587351668031,131.03307127004513,10,0
1,2016-08-16 11:00:00,54.53779634560591,1.1043736237476836,5.28575135904736,56.74654359310128,49.25204498655855,1.75,106.26446243084317,8.725061213026933,17.21140401139695,119.63467371603711,96.03363039461426,170.59108258671063,1.3881335206187373,7.331141391303618,177.92222397801424,167.81481554547315,1.75,211.06648532481557,40.42137231764541,85.50607546227471,303.5657199943413,157.4083148347168,8,1
2,2016-08-16 13:00:00,46.50672387383336,0.01,0.01,46.50672387383336,46.50672387383336,1.75,97.66909137371454,2.2935324937534602,4.215063421471456,102.22327183790811,78.9904846316709,177.92222397801424,0.01,0.01,177.92222397801424,177.92222397801424,1.75,252.28107791988987,17.922236360789285,30.956869051980902,290.78323044208344,225.21770847917352,6,2
3,2016-08-16 15:00:00,46.50672387383336,2.7453211127251933,2.7453211127251933,49.25204498655855,33.818323137766015,1.75,154.7409698185608,37.07993734120281,62.69112491374743,257.1836720345105,104.62723415175044,177.92222397801424,0.01,7.331141391303618,177.92222397801424,158.281588926413,1.75,285.6631483364863,7.655604891703547,13.740023369608593,303.3907648580707,265.6770381336348,9,3
4,2016-08-17 11:00:00,51.89492066608223,2.6428756795236836,5.837938170921198,56.74654359310128,39.65828306979712,1.75,800.8946847771927,22.21058843986941,37.969575536428465,1049.016022247417,688.5375018104916,169.2029490660919,5.053704216270546,21.400237060545834,177.92222397801424,148.89360412999696,1.75,249.80403828086247,21.35526765657559,64.65155513323685,327.509617819483,223.99134734599224,8,4
5,2016-08-17 13:00:00,55.642169969353596,1.1043736237476836,13.479251333176478,56.74654359310128,9.45578000288146,1.75,661.1360033596568,104.3715996977366,224.57791157203803,793.5481020919403,353.22305978292565,158.35420983773506,10.848739228356834,38.33867920828479,170.59108258671063,74.00000000000001,1.75,281.2093695477155,31.037326073350513,192.85314461815892,928.2316817662484,231.59784022249485,4,5
6,2016-08-17 15:00:00,46.50672387383336,10.23981971926792,20.748745264214886,56.74654359310128,15.249053064671498,1.75,365.03434181081576,71.92883325611575,122.56880642106341,436.9631750669315,191.82556222480468,105.10687191318657,8.31987515742108,9.96125251988775,113.42674707060765,93.50424203083216,1.75,775.3370774493161,140.5952706082785,169.6632920830856,974.0683910072088,634.7418068410376,3,6
7,2016-08-17 17:00:00,54.53779634560591,2.208747247495367,2.208747247495367,65.38145188981625,17.882355092578585,1.75,297.9099649212305,94.00395354421025,185.79169147920427,455.393296518932,86.32136159897436,111.43741001281846,1.9893370577891858,8.31987515742108,113.42674707060765,93.50424203083216,1.75,710.6785647326883,99.78289114242875,163.6006984067351,972.2728065397462,583.8184114520452,9,7
8,2016-08-17 19:00:00,21.05394036466873,0.01,3.537750569162931,24.59169093383166,21.05394036466873,1.75,338.1131640561105,19.59947762478322,30.255903821438153,372.2590265048269,256.74785485559875,98.99999999999994,0.01,6.106871913186623,105.10687191318657,98.99999999999994,1.75,1038.3777330798796,8.6114271638437,26.91403784293493,1046.9891602437233,1003.0707930200476,5,8
9,2016-08-17 21:00:00,28.838338206359808,4.246647272528147,7.610011163805712,33.818323137766015,24.59169093383166,1.75,359.10425949318824,45.47871973823419,49.04075092722309,458.17873209605256,230.4673127634036,105.10687191318657,0.01,0.01,105.10687191318657,98.99999999999994,1.75,1034.740704101924,8.915958445131992,12.574364467052646,1046.8561624654078,982.6516224938076,5,9
10,2016-08-17 23:00:00,24.59169093383166,0.01,2.517856683719728,28.838338206359808,24.59169093383166,1.75,770.171800890432,212.70931158901993,382.32350198178585,1037.5387519995702,471.3455461812002,108.27214096300251,3.1652690498159473,6.3305380996318945,113.42674707060765,105.10687191318657,1.75,1022.7210795057077,19.850094408138034,31.183638691605097,1054.408500283924,977.607702844948,6,10
11,2016-08-18 01:00:00,24.59169093383166,0.01,0.01,24.59169093383166,20.97039221392209,1.75,588.8060314476662,102.815174228829,159.83919744397946,766.8443225647504,472.12969274272194,105.10687191318657,0.01,0.01,111.43741001281846,105.10687191318657,1.75,1057.2605131783616,13.859165610373566,27.46176117825621,1096.1754537840188,1001.2184386225508,9,11
