,datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n,NSD1_sum,NSD2_sum,mode1_d_mad,mode1_sigma_mad,mode1_n_mad,mode2_d_mad,mode2_sigma_mad,mode2_n_mad,NSD1_sum_mad,NSD2_sum_mad,n_measurements
0,2016-08-16 09:00:00,49.25204498655855,1.75,131.41572126381155,186.68632197417872,1.75,158.07234042186394,132.51482938730965,149.54310123492064,5.28575135904736,0.01,32.87773933547339,13.313678025821304,0.01,6.222581218465052,29.20554304249233,6.156552924473871,10
1,2016-08-16 11:00:00,54.53779634560591,1.75,96.74491393803578,170.59108258671063,1.75,224.11659384004736,106.26446243084317,211.06648532481557,1.1043736237476836,0.01,3.250361539583821,1.3881335206187373,0.01,41.76006864643884,8.725061213026933,40.42137231764541,8
2,2016-08-16 13:00:00,46.50672387383336,1.75,94.76833240456894,177.92222397801424,1.75,276.9579849900168,97.66909137371454,252.28107791988987,0.01,0.01,3.61222895130431,0.01,0.01,20.5942654518186,2.2935324937534602,17.922236360789285,6
3,2016-08-16 15:00:00,46.50672387383336,1.75,134.122069599901,177.92222397801424,1.75,318.5055972282668,154.7409698185608,285.6631483364863,2.7453211127251933,0.01,28.34148044472589,0.01,0.01,8.93375280298784,37.07993734120281,7.655604891703547,9
4,2016-08-17 11:00:00,51.89492066608223,1.75,745.5645278339648,169.2029490660919,1.75,268.7327433443304,800.8946847771927,249.80403828086247,2.6428756795236836,0.01,28.605653992754867,5.053704216270546,0.01,20.683628533602075,22.21058843986941,21.35526765657559,8
5,2016-08-17 13:00:00,55.642169969353596,1.75,643.7765317442613,158.35420983773506,1.75,300.9432337123961,661.1360033596568,281.2093695477155,1.1043736237476836,0.01,85.76932636970957,10.848739228356834,0.01,30.54898953619822,104.3715996977366,31.037326073350513,4
6,2016-08-17 15:00:00,46.50672387383336,1.75,318.6263489618493,105.10687191318657,1.75,785.8445614829087,365.03434181081576,775.3370774493161,10.23981971926792,0.01,77.79608230871895,8.31987515742108,0.01,127.40413804731395,71.92883325611575,140.5952706082785,3
7,2016-08-17 17:00:00,54.53779634560591,1.75,299.35042350198023,111.43741001281846,1.75,736.2943760856447,297.9099649212305,710.6785647326883,2.208747247495367,0.01,76.59223478909968,1.9893370577891858,0.01,106.40321046779513,94.00395354421025,99.78289114242875,9
8,2016-08-17 19:00:00,21.05394036466873,1.75,351.357475080752,98.99999999999994,1.75,1070.9003506612282,338.1131640561105,1038.3777330798796,0.01,0.01,19.51905422283329,0.01,0.01,7.454615652537541,19.59947762478322,8.6114271638437,5
9,2016-08-17 21:00:00,28.838338206359808,1.75,318.028768114953,105.10687191318657,1.75,1073.6425582265542,359.10425949318824,1034.740704101924,4.246647272528147,0.01,42.308799108750236,0.01,0.01,13.857566668063555,45.47871973823419,8.915958445131992,5
10,2016-08-17 23:00:00,24.59169093383166,1.75,853.4120281887238,108.27214096300251,1.75,1066.335012602001,770.171800890432,1022.7210795057077,0.01,0.01,235.79724050860762,3.1652690498159473,0.01,14.596993778332035,212.70931158901993,19.850094408138034,6
11,2016-08-18 01:00:00,24.59169093383166,1.75,627.230611367663,105.10687191318657,1.75,1097.7147537141025,588.8060314476662,1057.2605131783616,0.01,0.01,105.68399638897745,0.01,0.01,7.4356810317285635,102.815174228829,13.859165610373566,9
12,2016-08-18 03:00:00,24.59169093383166,1.75,418.39149029931707,108.27214096300251,1.75,1142.2512773519506,389.475761272037,1095.6866140010043,0.01,0.01,100.82856498594961,3.1652690498159473,0.01,36.077755919085575,94.62614133043294,44.7088220472217,4
13,2016-08-18 05:00:00,24.424665143705766,1.75,219.54894144551136,99.0679795595762,1.75,1177.1105180957672,213.3829493672203,1152.6433825835547,0.1670257901258978,0.01,36.658314414339245,2.8158585441601502,0.01,24.617762520792553,32.932969748896,15.32162995925762,8
14,2016-08-18 07:00:00,44.001761601459066,1.75,389.3680913281155,106.72887928935785,1.75,575.4759998313388,386.59077447890445,590.4899411638303,31.163389265456757,0.01,299.92388621778247,18.536427675992314,0.01,304.7788708523883,306.7769171160323,333.0900829370915,8
15,2016-08-18 09:00:00,63.95572473141427,1.75,482.30973786044365,153.78575745898354,1.75,380.7401411050429,508.68050895757494,356.0890558505089,5.6872885012086805,0.01,76.69069230264762,10.650578297578278,0.01,80.61155170033129,73.99909808157349,78.75691899684169,6
16,2016-08-18 11:00:00,75.00000000000001,1.75,595.447881974668,170.59108258671063,1.75,247.7169269027896,644.8055822944665,227.4592394307504,0.3303017338316181,0.01,35.226449097667,7.331141391303618,0.01,73.89316370682988,24.296547946436704,68.67749279062824,7
17,2016-08-18 13:00:00,49.25204498655855,1.75,523.9080664276082,170.59108258671063,1.75,328.704671392498,573.7109249621614,297.9475293022853,16.129406903257696,0.01,44.99636249890523,24.859337383632578,0.01,142.42747244947543,38.90688481441657,123.84380255012871,9
18,2016-08-18 15:00:00,54.53779634560591,1.75,487.38620718374153,167.81481554547315,1.75,439.121048958867,528.6218813540278,408.3503033018426,9.41792838580836,0.01,13.81502523568679,10.107408432541092,0.01,54.67510315052158,17.27184142051965,50.18638748539922,7
19,2016-08-18 17:00:00,41.20281279100031,1.75,497.66609290830604,129.95582778807707,1.75,628.9620744892061,550.6372113454281,615.6475461025628,5.3039110828330465,0.01,99.30370184284598,4.69052082272691,0.01,63.349272921079944,114.5068716424266,76.2900200378894,8
