datetime,Org,NH4SO4,NH4NO3,eBC880,total_mass
2016-08-12 21:00:00,0.6572055289416604,0.22942251430416355,0.030474063779256655,0.08289789297491938,1.7694780257488525
2016-08-12 22:00:00,0.686172383865593,0.23634010528443608,0.031836216360403916,0.04565129448956687,2.0193293756668376
2016-08-12 23:00:00,0.7235483899579244,0.19736882064021644,0.03298375748909324,0.046099031912766035,1.8164372770008497
2016-08-13 00:00:00,0.6622954125074184,0.2377936127563581,0.027440423150206426,0.07247055158601687,1.5084333927036457
2016-08-13 01:00:00,0.71910898857246,0.19321067019308916,0.041532008269708494,0.046148332964742494,1.836642724770913
2016-08-13 02:00:00,0.6414555437505877,0.2639089839793807,0.0458594250895302,0.04877604718050156,2.245610424203991
2016-08-13 03:00:00,0.6126181947586113,0.306461274804371,0.03785234052956552,0.04306818990745221,2.4505789592456906
2016-08-13 04:00:00,0.5034928343614579,0.4031243604468869,0.036124062765908446,0.057258742425746814,2.243395411042764
2016-08-13 05:00:00,0.541008895581851,0.38717891726197234,0.027950218256254274,0.04386196889992255,2.5124271154228692
2016-08-13 06:00:00,0.5323668195080865,0.40204465423855845,0.023901065907732954,0.04168746034562211,2.3714325406340535
2016-08-13 07:00:00,0.59573323680069,0.33581423099853464,0.029916565457323543,0.0385359667434517,2.2121152576115297
2016-08-13 08:00:00,0.6549312358891396,0.2470340649176392,0.02630574196011347,0.07172895723310765,1.7114984622045544
2016-08-13 10:00:00,0.7435608003567683,0.1730832801409238,0.011403458365945111,0.0719524611363628,0.9340889656661642
2016-08-13 13:00:00,0.6522481560893585,0.26771089498846784,0.0221906846737508,0.057850264248422927,1.73755472521874
2016-08-13 16:00:00,0.625841722929643,0.3126477449421167,0.024994326005726108,0.03651620612251416,1.7550563655211264
2016-08-13 17:00:00,0.7599868919231851,0.16285650771086818,0.022668710748576338,0.05448788961737028,1.8628359569947817
2016-08-13 19:00:00,0.8369005236009402,0.07396503396982675,0.02996855665362753,0.05916588577560533,1.8475511448367499
2016-08-13 20:00:00,0.8762629119190561,0.051649381376158654,0.028298819621601773,0.043788887083183584,1.9968079991139842
2016-08-13 21:00:00,0.8960472995960338,0.023361382479413953,0.031087472953220927,0.04950384497133129,1.9252847946496972
2016-08-13 23:00:00,0.835540154634044,0.08415899764882705,0.023854669857796287,0.056446177859332876,1.968831269265916
2016-08-14 00:00:00,0.9092442780685988,0.04096490422894296,0.01873884537838815,0.031051972324070018,2.1229569352958744
2016-08-14 03:00:00,0.8564776116632511,0.06978483532764823,0.024191051217281715,0.04954650179181895,1.936564571261883
2016-08-14 04:00:00,0.8824386570207108,0.033062289021890526,0.035156562463580204,0.049342491493818495,2.624573589199966
2016-08-14 05:00:00,0.8766595062908579,0.02456020900497657,0.03219623670127267,0.0665840480028929,2.0260558504063737
2016-08-14 06:00:00,0.7885950117090118,0.13155403592577852,0.03688010150520495,0.04297085086000483,1.559592110901768
2016-08-14 07:00:00,0.8632788653101318,0.0780801535903446,0.03352080294605623,0.02512017815346738,1.495411368920361
2016-08-14 08:00:00,0.9350146262468398,0.014057791421677783,0.03405610272697544,0.016871479604506846,1.5306304251526157
2016-08-14 11:00:00,0.8371260887783427,0.13373244572084508,0.018419849030453326,0.010721616470358845,2.2853829987055954
2016-08-14 12:00:00,0.7185295746388365,0.23861888388584698,0.020354274274826393,0.022497267200490025,3.3136913624058395
2016-08-14 13:00:00,0.6883561514886947,0.2529499033096018,0.021308173153455484,0.03738577204824796,3.3736096137651033
2016-08-14 14:00:00,0.7367023986864377,0.21673790394237297,0.015668023506937242,0.030891673864252043,3.3146471910184143
2016-08-14 16:00:00,0.6665181915685868,0.25255756245802047,0.023897423949653464,0.05702682202373927,1.8739427554899335
2016-08-14 17:00:00,0.6289619331701091,0.2988317099608333,0.033615119361064524,0.0385912375079931,1.6141747200280308
2016-08-14 18:00:00,0.7074290643165188,0.2260830373109699,0.024852986564153474,0.04163491180835771,2.2282261681499977
2016-08-14 19:00:00,0.8287139554147144,0.11011124149662366,0.021237651545857914,0.039937151542803924,2.3135100133762094
2016-08-14 20:00:00,0.7658601065077025,0.13049864557884916,0.03520594163467832,0.06843530627877,1.4022148101318432
2016-08-14 21:00:00,0.8624811324157373,0.07556188894312355,0.027063330242336606,0.034893648398802476,1.8619147891176
2016-08-14 22:00:00,0.8612619887480595,0.09167529338626358,0.013409320426506622,0.03365339743917032,1.3185890096299888
2016-08-14 23:00:00,0.8733058249835715,0.047976321905598134,0.03495365449530107,0.04376419861552951,1.0135910493802445
2016-08-15 01:00:00,0.8826454258547201,0.07119468940693087,0.02248597734530956,0.023673907393039404,1.1949020299165836
2016-08-15 04:00:00,0.810975412913832,0.1284511825925618,0.03252441877690318,0.028048985716703053,0.8184253160473393
2016-08-15 05:00:00,0.7703275173466726,0.1617673213523703,0.029875757779119543,0.03802940352183758,0.7625152464815418
2016-08-15 08:00:00,0.8964817075217347,0.06246501146948593,0.02943623487963144,0.011617046129147752,1.168369295353374
2016-08-15 09:00:00,0.816507198396253,0.12554131473323565,0.019118591028973987,0.03883289584153746,0.8127902726800704
2016-08-15 14:00:00,0.7519883125350408,0.20683345191616567,0.013651568352758816,0.027526667196034662,1.919193472416096
2016-08-15 15:00:00,0.7230418112515488,0.20888103080271983,0.018500355766911183,0.04957680217882016,1.74938673307678
2016-08-15 16:00:00,0.7882376996083522,0.1476873810753291,0.024955545098237688,0.03911937421808115,2.4025435446909387
2016-08-15 17:00:00,0.7663098750337493,0.16829302068267216,0.02027743369836416,0.04511967058521446,2.6572002509098134
2016-08-15 18:00:00,0.7993877729100884,0.1502192481041798,0.023030108949743458,0.027362870035988352,3.09653190211995
2016-08-15 19:00:00,0.7734786936363373,0.17581719363390674,0.01897923130836623,0.031724881421389725,3.0995230114146954
2016-08-15 20:00:00,0.7862783807262947,0.16212532752037218,0.021652628844771492,0.029943662908561562,2.986541769224584
2016-08-15 21:00:00,0.7387218838620523,0.21297714059692574,0.020685888421302156,0.0276150871197198,2.9319480198989694
2016-08-15 22:00:00,0.735256163461522,0.22461350300742122,0.011209778740274899,0.02892055479078186,3.2032234744517334
2016-08-15 23:00:00,0.6043330369701846,0.3531340628706019,0.015419370615394815,0.027113529543818703,2.7191221962028806
2016-08-16 00:00:00,0.5812054401279383,0.37671622775941177,0.016702441835834837,0.02537589027681518,2.639316267110127
2016-08-16 01:00:00,0.5429953139629687,0.41448685449284256,0.01390716484948476,0.028610666694704,2.558591198909402
2016-08-16 02:00:00,0.5642211458014216,0.3905812456278406,0.015956936881070662,0.029240671689667142,2.4447454818646044
2016-08-16 04:00:00,0.5781154349729697,0.37822859222146055,0.01657184851199137,0.027084124293578295,2.3745275757447515
2016-08-16 05:00:00,0.5552935106637996,0.4053685276082229,0.015473509543515776,0.023864452184461805,1.9344672001336836
2016-08-16 07:00:00,0.5810294469617113,0.36544321402610264,0.017956045194218766,0.03557129381796734,1.3537601484620876
2016-08-16 08:00:00,0.6160559019684801,0.3461718039710782,0.013509869889595117,0.02426242417084662,2.0987597793787622
