datetime,total_mass,aitken_mass,accum_mass
2016-08-16 09:00:00,3.161583070095246,0.05474942754177509,3.106833642553471
2016-08-16 11:00:00,3.4544203652111904,0.0591535484361095,3.395266816775081
2016-08-16 13:00:00,4.612883151164276,0.033861597256367185,4.579021553907909
2016-08-16 15:00:00,5.0739424084948475,0.05196230012120002,5.021980108373647
2016-08-17 11:00:00,4.2744578659346235,0.38079014654478643,3.8936677193898372
2016-08-17 13:00:00,4.048969886285397,0.3896684193194389,3.659301466965958
2016-08-17 15:00:00,3.1343008996213837,0.1236657636187375,3.010635136002646
2016-08-17 17:00:00,3.4345593347683536,0.16227455781417657,3.272284776954177
2016-08-17 19:00:00,3.366558395384102,0.010572026662696039,3.355986368721406
2016-08-17 21:00:00,4.022109330091243,0.02884295577631922,3.9932663743149233
2016-08-17 23:00:00,4.346411417392049,0.03834698577324439,4.308064431618805
2016-08-18 01:00:00,4.094568328274055,0.029220431577514784,4.06534789669654
2016-08-18 03:00:00,4.626879957971273,0.019358871932295893,4.607521086038977
2016-08-18 05:00:00,3.809412311324127,0.010601002276909617,3.7988113090472173
2016-08-18 07:00:00,2.5362286593641743,0.11208005466081469,2.4241486047033596
2016-08-18 09:00:00,4.65163562381518,0.4485949431149932,4.2030406807001865
2016-08-18 11:00:00,4.5129829906006815,0.9165462180911343,3.596436772509547
2016-08-18 13:00:00,4.958909996736918,0.23201750436397375,4.7268924923729445
2016-08-18 15:00:00,6.499909992968795,0.29116658857692884,6.208743404391866
2016-08-18 17:00:00,4.641332370868726,0.13106519061857372,4.510267180250152
2016-08-18 19:00:00,6.103718490831219,0.2502009901245023,5.853517500706717
2016-08-18 21:00:00,6.513569586763018,0.32966276781171955,6.183906818951298
2016-08-18 23:00:00,4.7996139072429935,0.12800319454991566,4.671610712693078
2016-08-19 01:00:00,5.916833359970787,0.5824884906998721,5.334344869270915
2016-08-19 03:00:00,6.01304174701279,0.6104402630105538,5.402601484002236
2016-08-19 05:00:00,6.540029893104957,0.5417630165836211,5.998266876521336
2016-08-19 07:00:00,6.75421770342799,0.48623066040159624,6.267987043026394
2016-08-19 09:00:00,7.771900280772694,0.7224893429812947,7.049410937791399
2016-08-19 11:00:00,5.853726851839275,0.19842623680394914,5.655300615035325
2016-08-19 13:00:00,7.022358822511644,0.1498784035589765,6.872480418952668
2016-08-19 15:00:00,5.539438658352361,0.041947639011445825,5.497491019340915
2016-08-19 17:00:00,5.245849568249306,0.004027094760898371,5.241822473488408
2016-08-19 19:00:00,3.4202247275887774,0.0059018509656974085,3.4143228766230798
2016-08-19 21:00:00,4.736030602318973,0.21852115283352552,4.5175094494854475
2016-08-19 23:00:00,5.326673573288687,0.5689533563137184,4.757720216974969
2016-08-20 01:00:00,7.134291311487502,2.5053814083527914,4.62890990313471
2016-08-20 03:00:00,7.894107526383812,4.099736725508618,3.7943708008751944
2016-08-20 05:00:00,7.913004306189691,1.578970714124318,6.334033592065373
2016-08-20 07:00:00,9.596087806932069,3.55755491432772,6.038532892604349
2016-08-20 09:00:00,12.877755027359033,2.830827601485433,10.0469274258736
2016-08-20 11:00:00,17.03333848399123,1.9300450982673052,15.103293385723923
2016-08-20 13:00:00,9.731467046680526,1.2339337462526332,8.497533300427893
2016-08-20 15:00:00,8.160133187426652,0.6613349643775147,7.498798223049138
2016-08-20 17:00:00,1.973134236979127,0.0021014193072007342,1.9710328176719263
2016-08-20 19:00:00,3.070165895022271,0.0072420732991514076,3.06292382172312
2016-08-20 21:00:00,3.5451686289270947,0.01379771992811469,3.53137090899898
2016-08-20 23:00:00,3.805553571159139,0.032312702188593646,3.7732408689705452
2016-08-21 01:00:00,4.233098742356996,0.07871083598186214,4.154387906375134
2016-08-21 03:00:00,4.216817856326549,0.1421000498726749,4.074717806453874
2016-08-21 07:00:00,4.8336243347647825,0.26838122419899973,4.565243110565783
2016-08-21 09:00:00,5.427198647547124,0.6387964233449848,4.788402224202139
2016-08-21 11:00:00,3.9466534917965403,1.0595556750620476,2.8870978167344927
2016-08-21 13:00:00,5.957010358695578,0.009134282918813701,5.9478760757767635
2016-08-21 15:00:00,7.450423543417146,0.02440823177224066,7.426015311644905
2016-08-21 17:00:00,8.610379805561214,0.027017148209927035,8.583362657351287
2016-08-21 19:00:00,10.829847592712204,0.01302599243411604,10.816821600278088
2016-08-21 21:00:00,16.2745326267632,0.10412925437108385,16.170403372392116
2016-08-21 23:00:00,20.075633234243423,0.3901452463955066,19.685487987847917
2016-08-22 01:00:00,18.325324621165098,0.4071902245347669,17.918134396630332
2016-08-22 03:00:00,17.889900478795777,0.27914480427636473,17.610755674519414
2016-08-22 05:00:00,21.034921468798558,0.4625815000209573,20.5723399687776
2016-08-22 07:00:00,17.25094555017717,0.21867499922926428,17.032270550947906
2016-08-22 09:00:00,17.079197629231118,0.20091736214214373,16.878280267088975
2016-08-22 11:00:00,17.87164676683834,0.16568486954729134,17.705961897291047
2016-08-22 13:00:00,14.535714530901837,0.2034930734280482,14.33222145747379
2016-08-22 15:00:00,10.783292433396518,0.24229151136026403,10.541000922036254
2016-08-22 17:00:00,7.039975712912197,0.01665720484253193,7.023318508069665
2016-08-22 19:00:00,9.764159441413144,0.25333274479019313,9.510826696622951
2016-08-22 21:00:00,7.9612895234068555,0.43771290295241483,7.523576620454441
