,datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n,NSD1_sum,NSD2_sum,n_measurements
0,2016-08-16 09:00:00,56.74654359310128,1.75,206.5668247963036,200.00000000000003,1.75,171.3901360523381,209.13441831092996,160.6587351668031,10
1,2016-08-16 11:00:00,56.74654359310128,1.75,122.64824486408024,177.92222397801424,1.75,327.6743883531292,119.63467371603711,303.5657199943413,8
2,2016-08-16 13:00:00,46.50672387383336,1.75,104.93201152709004,177.92222397801424,1.75,322.9838170201454,102.22327183790811,290.78323044208344,6
3,2016-08-16 15:00:00,49.25204498655855,1.75,222.83671046361263,177.92222397801424,1.75,333.7356462463997,257.1836720345105,303.3907648580707,9
4,2016-08-17 11:00:00,56.74654359310128,1.75,1000.5082779187296,177.92222397801424,1.75,344.93261024629857,1049.016022247417,327.509617819483,8
5,2016-08-17 13:00:00,56.74654359310128,1.75,745.8425004956786,170.59108258671063,1.75,849.4982743953909,793.5481020919403,928.2316817662484,4
6,2016-08-17 15:00:00,56.74654359310128,1.75,396.42243127056827,113.42674707060765,1.75,970.5819393421812,436.9631750669315,974.0683910072088,3
7,2016-08-17 17:00:00,65.38145188981625,1.75,419.3005508775334,113.42674707060765,1.75,967.5990353482048,455.393296518932,972.2728065397462,9
8,2016-08-17 19:00:00,24.59169093383166,1.75,396.1262077135467,105.10687191318657,1.75,1087.3299869547589,372.2590265048269,1046.9891602437233,5
9,2016-08-17 21:00:00,33.818323137766015,1.75,360.3375672237032,105.10687191318657,1.75,1087.5001248946178,458.17873209605256,1046.8561624654078,5
10,2016-08-17 23:00:00,28.838338206359808,1.75,1151.8932089266475,113.42674707060765,1.75,1094.8471302979528,1037.5387519995702,1054.408500283924,6
11,2016-08-18 01:00:00,24.59169093383166,1.75,814.8982305733161,111.43741001281846,1.75,1134.875197350059,766.8443225647504,1096.1754537840188,9
12,2016-08-18 03:00:00,28.838338206359808,1.75,542.5390380432923,111.43741001281846,1.75,1180.8830924339347,506.0553364996377,1141.46916698626,4
13,2016-08-18 05:00:00,28.838338206359808,1.75,309.5430583213116,105.10687191318657,1.75,1210.9238536849098,300.7785310639377,1168.072931997728,8
14,2016-08-18 07:00:00,75.33030173383163,1.75,786.4387353799043,170.59108258671063,1.75,1082.501608038433,827.4915376008555,1087.9275004296371,8
15,2016-08-18 09:00:00,75.33030173383163,1.75,609.089642562444,170.59108258671063,1.75,740.4630691905031,621.611310689976,801.4725850484591,6
16,2016-08-18 11:00:00,75.33030173383163,1.75,640.9769251255137,195.4504199703432,1.75,381.956452357568,683.0723812166876,360.7987173514514,7
17,2016-08-18 13:00:00,65.38145188981625,1.75,574.7887653229477,195.4504199703432,1.75,604.4971055876786,617.5581829409305,714.9017966622275,9
18,2016-08-18 15:00:00,63.95572473141427,1.75,537.5185410078698,177.92222397801424,1.75,559.7144901209498,562.0782481587723,578.7933147377859,7
19,2016-08-18 17:00:00,49.25204498655855,1.75,738.3820847476383,140.80906158280615,1.75,788.021103040552,807.2980877761347,820.0741085922067,8
20,2016-08-18 19:00:00,39.65828306979712,1.75,1524.174946102304,158.281588926413,1.75,682.7019903419616,1680.8115958935846,663.8943543492022,10
21,2016-08-18 21:00:00,39.65828306979712,1.75,2680.945006421327,170.59108258671063,1.75,682.0927590733957,2691.6579372115148,643.4847713877824,10
22,2016-08-18 23:00:00,42.747342512203495,1.75,1167.308633595769,140.80906158280615,1.75,874.3752089874772,1225.434058653976,935.0722474858032,10
23,2016-08-19 01:00:00,65.38145188981625,1.75,626.3161915118214,170.59108258671063,1.75,453.4630973026782,745.5458317936074,438.98652218751926,11
24,2016-08-19 03:00:00,65.38145188981625,1.75,624.4519738172053,177.92222397801424,1.75,765.7010734409029,721.1443672615554,815.9836603453329,8
25,2016-08-19 05:00:00,75.33030173383163,1.75,605.5798967065007,195.4504199703432,1.75,416.6708065712357,625.7191733874638,388.5783515583148,5
26,2016-08-19 07:00:00,65.38145188981625,1.75,611.0887717726971,177.92222397801424,1.75,468.5828967828037,646.2317615561468,440.455032642527,9
27,2016-08-19 09:00:00,75.33030173383163,1.75,870.6564424326082,195.4504199703432,1.75,606.7948849074938,862.9037037398807,574.6015351354454,9
28,2016-08-19 11:00:00,75.33030173383163,1.75,918.0538882983528,195.4504199703432,1.75,1258.884534074654,962.902159358614,1264.956209432154,6
29,2016-08-19 13:00:00,49.25204498655855,1.75,839.3204803592513,121.28778638292016,1.75,1532.812756041638,1013.7599401617676,1480.5587576260873,6
30,2016-08-19 15:00:00,42.747342512203495,1.75,2901.8449848662367,113.42674707060765,1.75,1724.7820730324756,2722.8900994998125,1706.2803113097357,9
31,2016-08-19 17:00:00,18.2733529185564,1.75,345.91490236703305,99.13595911915246,1.75,1657.7364651511443,320.1916904610643,1622.9442879827395,6
32,2016-08-19 19:00:00,17.882355092578585,1.75,717.2388239416248,88.19245161336553,1.75,1933.1973613366133,670.3654456731182,1876.2031268409903,3
33,2016-08-19 21:00:00,65.38145188981625,2.06666666666667,5915.79492394722,200.00000000000003,1.75,4878.35011430058,6202.505538097503,4831.304119855771,10
34,2016-08-19 23:00:00,75.33030173383163,1.75,4051.339548003219,111.43741001281846,1.75,4390.456444992032,4111.750118825699,4356.65723429268,10
35,2016-08-20 01:00:00,75.33030173383163,1.75,5666.715090206912,336.7888761087688,1.75,4730.406524508829,5610.509652193714,4746.482603417978,12
36,2016-08-20 03:00:00,75.33030173383163,1.75,3296.6145772974323,293.9527015970298,1.75,3039.7851500695524,3280.7000504217026,3123.691361771437,11
