,datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n,NSD1_sum,NSD2_sum,n_measurements
0,2016-08-16 09:00:00,42.747342512203495,1.75,91.36666623267584,158.281588926413,1.75,137.41430146089104,97.56676290558184,131.03307127004513,10
1,2016-08-16 11:00:00,49.25204498655855,1.75,91.75205377361571,167.81481554547315,1.75,167.3177220279693,96.03363039461426,157.4083148347168,8
2,2016-08-16 13:00:00,46.50672387383336,1.75,80.28990502759925,177.92222397801424,1.75,245.4391172780108,78.9904846316709,225.21770847917352,6
3,2016-08-16 15:00:00,33.818323137766015,1.75,105.78058915517512,158.281588926413,1.75,293.94371962354586,104.62723415175044,265.6770381336348,9
4,2016-08-17 11:00:00,39.65828306979712,1.75,638.4139715269939,148.89360412999696,1.75,240.7320189790027,688.5375018104916,223.99134734599224,8
5,2016-08-17 13:00:00,9.45578000288146,1.75,386.7695438234128,74.00000000000001,1.75,251.2519539993303,353.22305978292565,231.59784022249485,4
6,2016-08-17 15:00:00,15.249053064671498,1.75,202.44623184628065,93.50424203083216,1.75,658.4404234355948,191.82556222480468,634.7418068410376,3
7,2016-08-17 17:00:00,17.882355092578585,1.75,87.68754700992315,93.50424203083216,1.75,604.1030436678386,86.32136159897436,583.8184114520452,9
8,2016-08-17 19:00:00,21.05394036466873,1.75,256.3731220478451,98.99999999999994,1.75,1050.3672796858548,256.74785485559875,1003.0707930200476,5
9,2016-08-17 21:00:00,24.59169093383166,1.75,237.0901524003825,98.99999999999994,1.75,1017.9678196711172,230.4673127634036,982.6516224938076,5
10,2016-08-17 23:00:00,24.59169093383166,1.75,483.311758037374,105.10687191318657,1.75,1023.7080023727124,471.3455461812002,977.607702844948,6
11,2016-08-18 01:00:00,20.97039221392209,1.75,490.9936236947492,105.10687191318657,1.75,1053.5468735027437,472.12969274272194,1001.2184386225508,9
12,2016-08-18 03:00:00,24.59169093383166,1.75,290.32439585550645,105.10687191318657,1.75,1105.03363319977,270.8776990226199,1047.3671650042545,4
13,2016-08-18 05:00:00,15.249053064671498,1.75,74.48341413932869,88.19245161336553,1.75,1104.271080745312,71.27242180014318,1106.6979498537642,8
14,2016-08-18 07:00:00,11.088663340058554,1.75,43.47448797375304,88.19245161336553,1.75,229.2046969226726,38.90230064813255,208.84100578347892,8
15,2016-08-18 09:00:00,9.45578000288146,1.75,233.37279594717876,93.50424203083216,1.75,232.01838747843328,203.6213380158028,211.641928234189,6
16,2016-08-18 11:00:00,63.95572473141427,1.75,456.4606574601505,149.28992599155407,1.75,128.86637490560315,463.12852650097216,114.49172250319492,7
17,2016-08-18 13:00:00,13.003523202918124,1.75,238.34969641032555,74.00000000000001,1.75,146.87298416139964,233.20564285384265,132.4724052597436,9
18,2016-08-18 15:00:00,21.05394036466873,1.75,473.57118194805474,113.42674707060765,1.75,384.4459458083454,501.916589631142,358.16391581644336,7
19,2016-08-18 17:00:00,20.97039221392209,1.75,392.7562100226894,111.43741001281846,1.75,430.1995158259839,426.9643718940512,419.8546540041252,8
20,2016-08-18 19:00:00,33.818323137766015,1.75,980.0099042398896,132.8099782496523,1.75,622.7989762078793,992.1497687132776,584.166288599563,10
21,2016-08-18 21:00:00,37.101714098457045,1.75,1520.1219909363117,148.89360412999696,1.75,532.7706473450307,1575.4828910957838,498.0302446838546,10
22,2016-08-18 23:00:00,17.882355092578585,1.75,231.35455417412985,98.99999999999994,1.75,635.1480518151386,217.02523662518,614.9402600950674,10
23,2016-08-19 01:00:00,56.74654359310128,1.75,552.8730410977491,148.89360412999696,1.75,362.2053530199462,568.1242184948093,343.0359675773457,11
24,2016-08-19 03:00:00,24.25763935357987,1.75,233.0087480081616,98.99999999999994,1.75,351.0608706267853,227.1803284914351,333.244113435542,8
25,2016-08-19 05:00:00,65.38145188981625,1.75,478.8235243905518,170.59108258671063,1.75,310.4325005069554,485.0092537353158,283.3642200002841,5
26,2016-08-19 07:00:00,63.95572473141427,1.75,453.5897886360585,167.81481554547315,1.75,362.0794479621726,450.65001592045536,343.0050679531738,9
27,2016-08-19 09:00:00,63.95572473141427,1.75,629.6514828548327,170.59108258671063,1.75,381.7258196547667,630.5005512544165,349.18044326544987,9
28,2016-08-19 11:00:00,15.249053064671498,1.75,138.86130151099746,93.50424203083216,1.75,429.4193124101874,131.8145559933176,416.42825332741967,6
29,2016-08-19 13:00:00,37.101714098457045,1.633333333333335,562.3987003838561,111.43741001281846,1.6000000000000016,1236.2582353980713,592.0408995834783,1202.6833974613144,6
30,2016-08-19 15:00:00,20.97039221392209,1.75,236.58649796165852,98.99999999999994,1.75,1551.4572299037793,230.5602525720552,1492.439234550493,9
31,2016-08-19 17:00:00,13.003523202918124,1.75,181.5930664653404,88.19245161336553,1.75,1601.4878637303837,184.69989291828048,1561.742462365698,6
32,2016-08-19 19:00:00,13.003523202918124,1.75,438.7198433411671,83.18241346752067,1.75,1765.8374804828927,428.1850438012685,1722.4169993551266,3
33,2016-08-19 21:00:00,20.97039221392209,1.75,497.3470791975651,74.00000000000001,1.5666666666666682,60.028630253054416,497.6492109818458,60.58986323642934,10
34,2016-08-19 23:00:00,13.003523202918124,1.75,92.49023743981547,78.45698564561687,1.75,463.4927545789251,102.01123410131385,458.7639884701183,10
35,2016-08-20 01:00:00,5.863431328076321,1.75,12.448321004225974,74.00000000000001,1.75,42.787584177151984,13.313682946643471,31.91249153164409,12
36,2016-08-20 03:00:00,4.999999999999999,1.75,201.91617510767912,74.00000000000001,1.75,59.49546226341988,217.633111397603,47.56960147672107,11
