datetime,mode1_d,mode1_sigma,NSD1_sum,mode2_d,mode2_sigma,NSD2_sum
2016-01-13 01:00:00,4.246647272528147,0.0,11.239864784893754,0.0,0.0,7.044037955312547
2016-01-13 03:00:00,1.206678057495238,0.0,42.107531113814304,3.665570695651809,0.0,8.267900661777887
2016-01-13 05:00:00,6.855650399532476,0.0,85.23242122215964,0.0,0.0,7.164291968800441
2016-01-13 07:00:00,7.400929675349205,0.0,28.997886478391848,7.331141391303618,0.0,13.562886272706152
2016-01-13 09:00:00,3.3707247790370367,0.0,6.716713567460701,8.76409799616448,0.0,15.890153720050193
2016-01-13 11:00:00,2.568076150048327,0.0,32.63727929724021,2.2747900148284117,0.0,3.786060378086688
2016-01-13 13:00:00,3.203698988911139,0.0,11.833738925523065,0.0,0.0,10.058188811670774
2016-01-13 15:00:00,3.6911938252114282,0.0,8.837532968714612,0.0,0.0,3.396082382425604
2016-01-13 17:00:00,3.6212987199095714,0.0,21.83424718880798,0.0,0.0,3.156655186507976
2016-01-13 19:00:00,2.4899924657031036,0.0,15.464225961382184,0.0,0.0,6.13630641139855
2016-01-13 21:00:00,4.246647272528147,0.0,17.500827886445435,0.0,0.0,2.887398952887054
2016-01-13 23:00:00,0.0,0.0,6.115415027847234,0.0,0.0,2.553275289307294
2016-01-15 01:00:00,3.2833909606910296,0.0,17.78997566969133,6.768449875979201,0.0,13.872007233670587
2016-01-15 03:00:00,1.2782844856700386,0.0,71.43128434704778,2.274790014828426,0.0,27.047597027899144
2016-01-15 05:00:00,2.934744979487359,0.0,12.730267378381804,11.966188640506118,0.0,17.078375478732518
2016-01-15 07:00:00,1.390293723056164,0.0,12.772531414325883,11.966188640506104,0.0,1.5623656670180708
2016-01-15 09:00:00,5.869489958974718,0.0,53.25249668624963,4.549580029656823,0.0,34.30837495380601
2016-01-15 11:00:00,1.616621040128642,0.0,78.91592445651395,7.331141391303618,0.0,5.833277088773684
2016-01-15 13:00:00,2.556568971340077,0.0,135.22506197311134,4.549580029656823,0.0,10.011591465013709
2016-01-15 15:00:00,2.556568971340077,0.0,22.763883032921115,10.107408432541092,0.0,22.568762644496786
2016-01-15 17:00:00,1.5445297212031903,0.0,26.161220470267182,1.3881335206187373,0.0,13.607396610686052
2016-01-15 19:00:00,2.745321112725186,0.0,15.848508261794393,12.309493660297619,0.0,22.846732417317526
2016-01-15 21:00:00,2.745321112725186,0.0,25.518575013577674,5.053704216270546,0.0,11.861084033761003
2016-01-15 23:00:00,2.450006000409836,0.0,50.41099154606266,9.691615589522321,0.0,38.02570873279939
2016-01-16 01:00:00,1.372660556362593,0.0,100.87425748308345,9.533226619060144,0.0,21.591951829577994
2016-01-16 03:00:00,1.372660556362593,0.0,27.30878473499928,0.0,0.0,7.692659549858888
2016-01-16 05:00:00,3.0890594424063735,0.0,11.44825518713401,0.19816093077855612,0.0,20.263607660153383
2016-01-16 07:00:00,4.7968809583807115,0.0,37.00634787440043,4.495831467429468,0.0,28.76769221070876
2016-01-16 09:00:00,2.745321112725186,0.0,20.595934887923136,9.387984796416049,0.0,29.449034873429184
2016-01-16 11:00:00,5.645628413746451,0.0,59.4630572016971,0.0,0.0,26.882120953732567
2016-01-16 13:00:00,4.968750123221305,0.0,16.56459595354397,15.146409765007746,0.0,29.92310190515721
2016-01-16 15:00:00,4.46450968721874,0.0,38.02348889266591,9.189823865637493,0.0,36.67394735250056
2016-01-16 17:00:00,3.7593813616298632,0.0,97.95741893938413,8.991662934858937,0.0,44.39424430870645
2016-01-16 19:00:00,4.146243533000224,0.0,61.45455328537838,8.991662934858937,0.0,33.67606009348941
2016-01-16 21:00:00,0.0,0.0,48.134479422889825,5.053704216270546,0.0,35.1073127199499
2016-01-16 23:00:00,0.0,0.0,17.83650554036855,0.0,0.0,12.933231500794946
2016-01-17 01:00:00,0.0,0.0,11.477419780065489,2.274790014828426,0.0,6.994156445578994
2016-01-17 03:00:00,0.0,0.0,25.611630008168035,0.0,0.0,45.35960583143307
2016-01-17 05:00:00,3.747249303271367,0.0,26.656067824710277,0.0,0.0,32.355203822308454
2016-01-17 07:00:00,6.658411915409953,0.0,27.730957068431735,9.189823865637493,0.0,23.317445745431655
2016-01-17 09:00:00,15.87701131688845,0.0,155.5075878225548,13.198494206092533,0.0,133.0649098361245
