,datetime,mode1_d,mode1_sigma,mode1_n,mode2_d,mode2_sigma,mode2_n,NSD1_sum,NSD2_sum,mode1_d_max,mode1_d_min,mode1_d_mad,mode2_d_max,mode2_d_min,mode2_d_mad,mode1_NSD_max,mode1_NSD_min,mode1_NSD_mad,mode2_NSD_max,mode2_NSD_min,mode2_NSD_mad,n_measurements
0,2016-08-16 09:00:00,49.25204498655855,1.75,131.41572126381155,186.68632197417872,1.75,158.07234042186394,132.51482938730965,149.54310123492064,56.74654359310128,42.747342512203495,5.28575135904736,200.00000000000003,158.281588926413,13.313678025821304,209.13441831092996,97.56676290558184,29.20554304249233,160.6587351668031,131.03307127004513,6.156552924473871,10.0
1,2016-08-16 11:00:00,54.53779634560591,1.75,96.74491393803578,170.59108258671063,1.75,224.11659384004736,106.26446243084317,211.06648532481557,56.74654359310128,49.25204498655855,1.1043736237476836,177.92222397801424,167.81481554547315,1.3881335206187373,119.63467371603711,96.03363039461426,8.725061213026933,303.5657199943413,157.4083148347168,40.42137231764541,8.0
2,2016-08-16 13:00:00,46.50672387383336,1.75,94.76833240456894,177.92222397801424,1.75,276.9579849900168,97.66909137371454,252.28107791988987,46.50672387383336,46.50672387383336,0.0,177.92222397801424,177.92222397801424,0.0,102.22327183790811,78.9904846316709,2.2935324937534602,290.78323044208344,225.21770847917352,17.922236360789285,6.0
3,2016-08-16 15:00:00,46.50672387383336,1.75,134.122069599901,177.92222397801424,1.75,318.5055972282668,154.7409698185608,285.6631483364863,49.25204498655855,33.818323137766015,2.7453211127251933,177.92222397801424,158.281588926413,0.0,257.1836720345105,104.62723415175044,37.07993734120281,303.3907648580707,265.6770381336348,7.655604891703547,9.0
4,2016-08-17 11:00:00,51.89492066608223,1.75,745.5645278339648,169.2029490660919,1.75,268.7327433443304,800.8946847771927,249.80403828086247,56.74654359310128,39.65828306979712,2.6428756795236836,177.92222397801424,148.89360412999696,5.053704216270546,1049.016022247417,688.5375018104916,22.21058843986941,327.509617819483,223.99134734599224,21.35526765657559,8.0
5,2016-08-17 13:00:00,55.642169969353596,1.75,643.7765317442613,158.35420983773506,1.75,300.9432337123961,661.1360033596568,281.2093695477155,56.74654359310128,9.45578000288146,1.1043736237476836,170.59108258671063,74.00000000000001,10.848739228356834,793.5481020919403,353.22305978292565,104.3715996977366,928.2316817662484,231.59784022249485,31.037326073350513,4.0
6,2016-08-17 15:00:00,46.50672387383336,1.75,318.6263489618493,105.10687191318657,1.75,785.8445614829087,365.03434181081576,775.3370774493161,56.74654359310128,15.249053064671498,10.23981971926792,113.42674707060765,93.50424203083216,8.31987515742108,436.9631750669315,191.82556222480468,71.92883325611575,974.0683910072088,634.7418068410376,140.5952706082785,3.0
7,2016-08-17 17:00:00,54.53779634560591,1.75,299.35042350198023,111.43741001281846,1.75,736.2943760856447,297.9099649212305,710.6785647326883,65.38145188981625,17.882355092578585,2.208747247495367,113.42674707060765,93.50424203083216,1.9893370577891858,455.393296518932,86.32136159897436,94.00395354421025,972.2728065397462,583.8184114520452,99.78289114242875,9.0
8,2016-08-17 19:00:00,21.05394036466873,1.75,351.357475080752,98.99999999999994,1.75,1070.9003506612282,338.1131640561105,1038.3777330798796,24.59169093383166,21.05394036466873,0.0,105.10687191318657,98.99999999999994,0.0,372.2590265048269,256.74785485559875,19.59947762478322,1046.9891602437233,1003.0707930200476,8.6114271638437,5.0
9,2016-08-17 21:00:00,28.838338206359808,1.75,318.028768114953,105.10687191318657,1.75,1073.6425582265542,359.10425949318824,1034.740704101924,33.818323137766015,24.59169093383166,4.246647272528147,105.10687191318657,98.99999999999994,0.0,458.17873209605256,230.4673127634036,45.47871973823419,1046.8561624654078,982.6516224938076,8.915958445131992,5.0
10,2016-08-17 23:00:00,24.59169093383166,1.75,853.4120281887238,108.27214096300251,1.75,1066.335012602001,770.171800890432,1022.7210795057077,28.838338206359808,24.59169093383166,0.0,113.42674707060765,105.10687191318657,3.1652690498159473,1037.5387519995702,471.3455461812002,212.70931158901993,1054.408500283924,977.607702844948,19.850094408138034,6.0
11,2016-08-18 01:00:00,24.59169093383166,1.75,627.230611367663,105.10687191318657,1.75,1097.7147537141025,588.8060314476662,1057.2605131783616,24.59169093383166,20.97039221392209,0.0,111.43741001281846,105.10687191318657,0.0,766.8443225647504,472.12969274272194,102.815174228829,1096.1754537840188,1001.2184386225508,13.859165610373566,9.0
12,2016-08-18 03:00:00,24.59169093383166,1.75,418.39149029931707,108.27214096300251,1.75,1142.2512773519506,389.475761272037,1095.6866140010043,28.838338206359808,24.59169093383166,0.0,111.43741001281846,105.10687191318657,3.1652690498159473,506.0553364996377,270.8776990226199,94.62614133043294,1141.46916698626,1047.3671650042545,44.7088220472217,4.0
13,2016-08-18 05:00:00,24.424665143705766,1.75,219.54894144551136,99.0679795595762,1.75,1177.1105180957672,213.3829493672203,1152.6433825835547,28.838338206359808,15.249053064671498,0.1670257901258978,105.10687191318657,88.19245161336553,2.8158585441601502,300.7785310639377,71.27242180014318,32.932969748896,1168.072931997728,1106.6979498537642,15.32162995925762,8.0
14,2016-08-18 07:00:00,44.001761601459066,1.75,389.3680913281155,106.72887928935785,1.75,575.4759998313388,386.59077447890445,590.4899411638303,75.33030173383163,11.088663340058554,31.163389265456757,170.59108258671063,88.19245161336553,18.536427675992314,827.4915376008555,38.90230064813255,306.7769171160323,1087.9275004296371,208.84100578347892,333.0900829370915,8.0
