,datetime,NRMSE,predicted_CCN1,predicted_CCN2,inorg_density,Predicted_CCN,f_org1,f_AS1,f_BC1,f_org2,f_AS2,f_BC2,k1,k2,mass_aitken,mass_accumulation,tot_org_mass,info_mass,season
0,2016-08-16 09:00:00,,,,,,,,,,,,,,,,1.9623533471610857,,1
1,2016-08-16 11:00:00,0.04346371459609807,[ 2.09414551 11.48621644 23.6019312  47.04316581 80.14514284],[114.28627834 184.93968773 211.9689806  229.54335542 235.89293901],1766.6899569673171,[116.38042385 196.42590417 235.5709118  276.58652124 316.03808184],0.6174447541908772,0.3527556864379033,0.0297995593712193,0.6174447541908772,0.35275568643790334,0.0297995593712193,0.2644825974192927,0.2644825974192927,0.05693382330163912,3.565411080948877,2.2365978589995366,"{'total_mass': np.float64(3.622344904250516), 'tot_mass_mode1': np.float64(0.05693382330163912), 'tot_mass_mode2': np.float64(3.565411080948877), 'M_org1': np.float64(0.0351534905336274), 'M_AS1': np.float64(0.018975763082087548), 'M_AN1': np.float64(0.0011079668382164526), 'M_BC1': np.float64(0.001696602847707704), 'M_org2': np.float64(2.2014443684659093), 'M_AS2': np.float64(1.1883339645730018), 'M_AN2': np.float64(0.06938506872042619), 'M_BC2': np.float64(0.10624767918953924), 'tot_org': np.float64(2.2365978589995366), 'tot_AS': np.float64(1.2073097276550893), 'tot_AN': np.float64(0.07049303555864264), 'tot_BC': np.float64(0.10794428203724694)}",1
2,2016-08-16 13:00:00,,,,,,,,,,,,,,,,,,1
3,2016-08-16 15:00:00,,,,,,,,,,,,,,,,,,1
4,2016-08-17 11:00:00,0.09160578735376587,[ 13.00645605  69.42182195 141.14647922 275.75435152 462.8459964 ],[137.4276358  227.5213745  263.02922616 286.85067322 295.93362985],1765.764016766627,[150.43409184 296.94319645 404.17570538 562.60502474 758.77962625],0.6690539685675668,0.28246860023784404,0.04847743119458899,0.6690539685675669,0.2824686002378441,0.048477431194589,0.2480208574586402,0.24802085745864022,0.35244450419056716,4.218426906799282,3.0581596573347927,"{'total_mass': np.float64(4.57087141098985), 'tot_mass_mode1': np.float64(0.35244450419056716), 'tot_mass_mode2': np.float64(4.218426906799282), 'M_org1': np.float64(0.2358043942285274), 'M_AS1': np.float64(0.09252598547344568), 'M_AN1': np.float64(0.007028520286784791), 'M_BC1': np.float64(0.01708560420180925), 'M_org2': np.float64(2.822355263106265), 'M_AS2': np.float64(1.1074484126109667), 'M_AN2': np.float64(0.08412473095828488), 'M_BC2': np.float64(0.20449850012376508), 'tot_org': np.float64(3.0581596573347927), 'tot_AS': np.float64(1.1999743980844124), 'tot_AN': np.float64(0.09115325124506968), 'tot_BC': np.float64(0.22158410432557435)}",1
5,2016-08-17 13:00:00,0.09924091008786272,[ 14.35091424  71.96256042 141.28398325 265.92654155 428.05814448],[144.26695104 251.47054609 296.81681679 329.03140976 342.1110269 ],1767.1748776563504,[158.61786529 323.43310651 438.10080003 594.95795131 770.16917138],0.6360968651401182,0.3146258795980888,0.0492772552617929,0.6360968651401182,0.3146258795980888,0.049277255261792906,0.25579357918200785,0.25579357918200785,0.3530355067172767,3.966336039693433,2.7475387000472775,"{'total_mass': np.float64(4.31937154641071), 'tot_mass_mode1': np.float64(0.3530355067172767), 'tot_mass_mode2': np.float64(3.966336039693433), 'M_org1': np.float64(0.22456477910601283), 'M_AS1': np.float64(0.10584414114682751), 'M_AN1': np.float64(0.005229965683452643), 'M_BC1': np.float64(0.017396620780983644), 'M_org2': np.float64(2.522973920941264), 'M_AS2': np.float64(1.1891535656702714), 'M_AN2': np.float64(0.05875839959987505), 'M_BC2': np.float64(0.19545015348202205), 'tot_org': np.float64(2.7475387000472775), 'tot_AS': np.float64(1.2949977068170988), 'tot_AN': np.float64(0.0639883652833277), 'tot_BC': np.float64(0.2128467742630057)}",1
6,2016-08-17 15:00:00,0.07039150851960592,[  2.65175978  17.34430084  39.36811373  87.50554087 169.08442479],[125.48760487 322.3865332  452.72536388 587.19302037 675.34081348],1762.9013796956344,[128.13936465 339.73083404 492.09347761 674.69856124 844.42523827],0.7275314920577179,0.21999170952431957,0.052476798417962496,0.7275314920577177,0.21999170952431957,0.0524767984179625,0.24684043436190645,0.2468404343619065,0.11491959670587386,3.2746889962601724,2.4660469971322487,"{'total_mass': np.float64(3.389608592966046), 'tot_mass_mode1': np.float64(0.11491959670587386), 'tot_mass_mode2': np.float64(3.2746889962601724), 'M_org1': np.float64(0.08360762565809561), 'M_AS1': np.float64(0.02229031245327209), 'M_AN1': np.float64(0.002991046083898467), 'M_BC1': np.float64(0.006030612510607689), 'M_org2': np.float64(2.3824393714741534), 'M_AS2': np.float64(0.6351731384922297), 'M_AN2': np.float64(0.08523129195552384), 'M_BC2': np.float64(0.17184519433826503), 'tot_org': np.float64(2.4660469971322487), 'tot_AS': np.float64(0.6574634509455017), 'tot_AN': np.float64(0.0882223380394223), 'tot_BC': np.float64(0.17787580684887272)}",1
7,2016-08-17 17:00:00,0.054816210198653494,[  4.2912604   24.34573563  52.17546652 105.17781147 183.28313738],[134.85359033 338.20389488 472.09857027 603.67726214 687.77832158],1763.7595027847444,[139.14485073 362.54963051 524.27403679 708.85507361 871.06145897],0.7443544074285127,0.2091155546898914,0.0465300378815958,0.7443544074285128,0.20911555468989138,0.0465300378815958,0.23164461433099998,0.23164461433099992,0.1533707638170352,3.468678880692569,2.6960886168156017,"{'total_mass': np.float64(3.622049644509604), 'tot_mass_mode1': np.float64(0.1533707638170352), 'tot_mass_mode2': np.float64(3.468678880692569), 'M_org1': np.float64(0.11416220401788761), 'M_AS1': np.float64(0.02873643648464756), 'M_AN1': np.float64(0.00333577586416408), 'M_BC1': np.float64(0.00713634745033593), 'M_org2': np.float64(2.581926412797714), 'M_AS2': np.float64(0.6499118075696055), 'M_AN2': np.float64(0.07544290060753261), 'M_BC2': np.float64(0.16139775971771655), 'tot_org': np.float64(2.6960886168156017), 'tot_AS': np.float64(0.6786482440542531), 'tot_AN': np.float64(0.0787786764716967), 'tot_BC': np.float64(0.16853410716805248)}",1
8,2016-08-17 19:00:00,0.04160381582600816,"[1.61048960e-02 3.48815197e-01 1.69170724e+00 8.24995786e+00
 4.27567041e+01]",[123.05797634 361.64468898 548.83321888 752.90970806 908.86381428],1761.811643693707,[123.07408124 361.99350418 550.52492612 761.15966592 951.62051833],0.7613876050173704,0.1769640999537518,0.0616482950288776,0.7613876050173704,0.17696409995375179,0.0616482950288776,0.2168776193090927,0.2168776193090927,0.011280255966606909,3.31414038990048,2.531934061232058,"{'total_mass': np.float64(3.3254206458670867), 'tot_mass_mode1': np.float64(0.011280255966606909), 'tot_mass_mode2': np.float64(3.31414038990048), 'M_org1': np.float64(0.008588647074397736), 'M_AS1': np.float64(0.0017237736830699297), 'M_AN1': np.float64(0.0002724266613086002), 'M_BC1': np.float64(0.0006954085478306396), 'M_org2': np.float64(2.5233454141576606), 'M_AS2': np.float64(0.506444889461846), 'M_AN2': np.float64(0.08003898175726856), 'M_BC2': np.float64(0.20431110452370424), 'tot_org': np.float64(2.531934061232058), 'tot_AS': np.float64(0.5081686631449158), 'tot_AN': np.float64(0.08031140841857716), 'tot_BC': np.float64(0.20500651307153486)}",1
9,2016-08-17 21:00:00,0.04098691283583952,[ 0.11478253  1.70473979  6.47130878 24.56229444 91.02259014],[136.28301799 370.02449596 538.9906     713.08757383 834.5873981 ],1762.1769291435273,[136.39780052 371.72923575 545.46190878 737.64986827 925.60998825],0.7639997081367359,0.17295928050433712,0.06304101135892691,0.7639997081367359,0.1729592805043371,0.0630410113589269,0.22309672286008297,0.223096722860083,0.029849381035949776,4.098209171462394,3.1538355292800913,"{'total_mass': np.float64(4.128058552498344), 'tot_mass_mode1': np.float64(0.029849381035949776), 'tot_mass_mode2': np.float64(4.098209171462394), 'M_org1': np.float64(0.02280491839952785), 'M_AS1': np.float64(0.00448958775429873), 'M_AN1': np.float64(0.0006731397131789475), 'M_BC1': np.float64(0.001881735168944247), 'M_org2': np.float64(3.1310306108805634), 'M_AS2': np.float64(0.6164037267169036), 'M_AN2': np.float64(0.0924195829355076), 'M_BC2': np.float64(0.2583552509294192), 'tot_org': np.float64(3.1538355292800913), 'tot_AS': np.float64(0.6208933144712022), 'tot_AN': np.float64(0.09309272264868655), 'tot_BC': np.float64(0.26023698609836343)}",1
