,datetime,kappa_mean,kappa_median,kappa_mode,kappa_std,kappa_rhat,kappa_25,kappa_75,kappa_skew,kappa_mad,kappa_n_chains,density_mean,density_median,density_mode,density_std,density_rhat,density_25,density_75,density_skew,density_mad,density_n_chains,season,NRMSE,Predicted_CCN,f_AS1,f_AS2,f_BC1,f_BC2,f_org1,f_org2,inorg_density,k1,k2,mass_accumulation,mass_aitken,predicted_CCN1,predicted_CCN2
0,2016-08-16 09:00:00,2901.6914441933427,2932.9245814233,2983.287176571307,97.75756987124724,1.008656855340864,2857.4607739555545,2974.323314751332,-1.8377041842250572,50.27188377137645,5.0,0.1418519032926742,0.1443295157476354,0.1478994531157218,0.0080813011200927,1.0038621677642203,0.1386786554789043,0.1476069521632479,-1.9126413319231963,0.0038635122523037,5.0,1,,,,,,,,,,,,,,,
1,2016-08-16 11:00:00,2756.166845190104,2805.2309813916854,2942.371218412949,205.66608810114215,1.0044141191618854,2648.756694326956,2922.974389866267,-1.235718155256987,130.5888540669639,5.0,0.1293793698553876,0.133790605030828,0.1477925833891416,0.0180086185778957,1.0059658540302934,0.1211346257228544,0.1433291966607005,-1.3402713990281123,0.0104668352685891,5.0,1,,,,,,,,,,,,,,,
2,2016-08-16 13:00:00,1004.3933227394684,1003.2208008351683,1000.79536627451,4.161755911686773,1.0202671627503532,1001.3419841680184,1006.0635055882874,1.7284199104338245,2.113204516682913,5.0,0.0505432026585113,0.050396383977057,0.0500679118620986,0.0005242495227488,1.0037084043331312,0.0501631141450308,0.050768164925314,1.7924176975210422,0.0002791834925194,5.0,1,,,,,,,,,,,,,,,
3,2016-08-16 15:00:00,1000.4568529468194,1000.3091251390856,1000.0189806488978,0.455020977634019,1.0425368518472318,1000.142247116966,1000.6063855059004,1.805156075111944,0.2169681732578965,5.0,0.0500253779400819,0.0500174687838088,0.0500054553474724,2.4451943736719496e-05,1.0861518520597533,0.0500065602068166,0.050035618571538,1.5026717966005163,1.1745492607864729e-05,5.0,1,,,,,,,,,,,,,,,
4,2016-08-17 11:00:00,2679.185591128623,2711.5219502352475,2982.5703880568967,229.41671877090687,1.0281945937918866,2517.5199632492777,2876.938960433992,-0.6381004902096483,173.75741382770184,5.0,0.1272807218112617,0.129644655429334,0.1489471811545148,0.0155791385587867,1.0201594626685864,0.1168052063358444,0.1397494553589552,-0.6695850265839206,0.0112254020217615,5.0,1,,,,,,,,,,,,,,,
5,2016-08-17 13:00:00,2814.820595176725,2856.4537714817875,2943.4421844782228,155.35766150489758,1.00391456452451,2724.0608176427104,2940.2390508292488,-1.0848136462110978,96.60228228249434,5.0,0.1368792810523764,0.1395111569901981,0.1497201619013697,0.0110088496615826,1.0103135683962186,0.1306236512255554,0.1458623701672897,-1.0481031588688543,0.0071026328823712,5.0,1,,,,,,,,,,,,,,,
6,2016-08-17 15:00:00,1987.4607209940016,2056.847592972598,2135.9369207060327,412.3223441668379,1.1816684416529963,1703.3254606570706,2296.8850158854075,-0.3864456972520758,277.8964443911741,5.0,0.0889639349765275,0.0845234231275465,0.057936311130729,0.0247359486384533,1.1894704177046422,0.0695300300560772,0.1064480718816743,0.4723964149833911,0.0176572857814571,5.0,1,,,,,,,,,,,,,,,
7,2016-08-17 17:00:00,2389.536406068135,2424.8673151567823,1655.548787058671,387.0230198923136,1.009272552148962,2079.0333536350145,2727.9188449438075,-0.2420931942071449,322.49538119157523,5.0,0.11474071505536,0.1145944724098347,0.1472924381506185,0.02023359562478,1.009749344150145,0.0988538294857229,0.1318885900088559,-0.0578447146121516,0.0163525807309985,5.0,1,,,,,,,,,,,,,,,
8,2016-08-17 19:00:00,1807.3977064596552,1839.0832982787135,2507.7650513090334,458.00918177624175,1.0553560989140989,1425.51165779224,2197.9888767176144,-0.0589283742585983,384.73308838376647,5.0,0.0873617992874069,0.0853094995972308,0.0540473083889064,0.0228654577530126,1.0542720187552346,0.0678736977910001,0.1067040616465608,0.142159162483178,0.0192208274135566,5.0,1,,,,,,,,,,,,,,,
9,2016-08-17 21:00:00,1536.587654301717,1521.6925440403472,1090.0662880862487,316.5182776932543,1.0137457365321634,1267.8921798959389,1790.6223097961338,0.1789706580656481,260.9074854262551,5.0,0.0785229221756885,0.078272660708217,0.0984965256701731,0.0163498026720592,1.013836446533129,0.0647046375408732,0.0914107792573182,0.0701003988742167,0.0133449742593713,5.0,1,,,,,,,,,,,,,,,
10,2016-08-17 23:00:00,1214.1851949055074,1205.6049151569207,1210.77258257072,126.38075299604768,1.0562927296416325,1111.9968732800614,1310.52463198414,0.273338304423738,96.61181530408612,5.0,0.0614617402560977,0.0609220002418053,0.0503741948644641,0.0071658070935398,1.0444241064843085,0.0554830317008483,0.0669552866370292,0.3188597970836668,0.0056663598419731,5.0,1,,,,,,,,,,,,,,,
11,2016-08-18 01:00:00,1271.0612562887093,1268.3232094349696,1022.3176137656868,161.72763265593852,1.0312278025454895,1131.544233111874,1397.8139409118337,0.1819756325976388,131.8975091465113,5.0,0.0637064683631791,0.0635795529507183,0.0737786847277222,0.0081385679716116,1.025991211122032,0.0567047609663409,0.0703036718974253,0.1446082249425697,0.0067879689231633,5.0,1,,,,,,,,,,,,,,,
12,2016-08-18 03:00:00,1001.4863102487152,1000.7322754605603,1000.0300030695006,1.625426387705989,1.098030388913016,1000.2122526561958,1002.4833941971248,1.882039413641168,0.6095834008556267,5.0,0.0500846531365662,0.0500561134989279,0.0500308436747594,8.421460623300144e-05,1.0674902063747524,0.0500308436747594,0.0501034732952951,2.5935407201482885,2.876182023307805e-05,5.0,1,,,,,,,,,,,,,,,
13,2016-08-18 05:00:00,1001.1710996068084,1000.7322660396102,1000.1341562487704,1.2404521569392832,1.0471905729163486,1000.2938946826758,1001.7032736814276,2.1279713956879496,0.5336987558210922,5.0,0.0501424670550907,0.0500958417441279,0.0500061446497173,0.0001429317740949,1.040800878999103,0.0500317221383005,0.050195944119741,1.6923807305921257,7.297632086393502e-05,5.0,1,,,,,,,,,,,,,,,
14,2016-08-18 07:00:00,1003.2969201233964,1002.2519348043978,1000.0801479145052,3.2883964620062893,1.0163760002573798,1000.748870358821,1005.0959117808892,1.5247383682760285,1.757562072505607,5.0,0.0502850155069652,0.0502025071524599,0.0500695144599624,0.000283174899247,1.0155344079624902,0.0500799850476478,0.0503956153113578,1.9542193575039724,0.0001353282586596,5.0,1,,,,,,,,,,,,,,,
15,2016-08-18 09:00:00,1002.4732735966468,1001.3609859461172,1000.1857119124091,2.750386205034845,1.026980132232388,1000.5092269253128,1003.4911752021162,2.083915130310438,1.024806680756683,5.0,0.0502035487938587,0.0501404536057777,0.0500545005261291,0.0002043099192938,1.0256870073472266,0.0500565590175752,0.0502845082543982,2.1209374582077585,9.52527088484076e-05,5.0,1,,,,,,,,,,,,,,,
16,2016-08-18 11:00:00,1135.2729559705808,1108.3009777700786,1036.4356377409847,111.18758140091666,1.0028241871292018,1048.3972860289591,1195.1077564509824,1.327754942296825,67.63174087571497,5.0,0.0604604068650459,0.0586549900319734,0.0631007517188758,0.008256601169172,1.0094269881649065,0.0541147715165529,0.0645920031057368,1.2090368740860975,0.0049695458456114,5.0,1,,,,,,,,,,,,,,,
17,2016-08-18 13:00:00,2969.957670858658,2979.163598253224,2998.093799929876,30.7665394497285,1.0077377744050386,2957.54765237517,2991.8094492233613,-1.988528040174646,14.674400074977711,5.0,0.1483687968077471,0.1489470091767756,0.1496265270785701,0.0016873262674867,1.0096244476867455,0.1477220062733357,0.1495224075459259,-1.9823154589410164,0.0007547102766156,5.0,1,,,,,,,,,,,,,,,
18,2016-08-18 15:00:00,2934.844162805695,2956.5973218679246,2996.528983896262,65.8893818024592,1.0063528472916554,2909.96855200964,2980.6512120739926,-2.014256790553274,31.350647043228943,5.0,0.1463883769690149,0.1473965542658481,0.1498648483645458,0.0034019868520973,1.0096967556559164,0.1447871361751742,0.1489974584382565,-1.5744319697475062,0.0018494672389614,5.0,1,,,,,,,,,,,,,,,
19,2016-08-18 17:00:00,2464.8779268698827,2498.1480366878463,2249.4240198606108,353.1365640567969,1.0450193214442116,2195.3649757512485,2779.580799469836,-0.4290306811037913,288.2216349192604,5.0,0.1078765091800529,0.1088347260531868,0.1486421248961696,0.0241118630657556,1.036305625652595,0.0898954251897146,0.1271100461393299,-0.2297923952743083,0.0185907417443951,5.0,1,,,,,,,,,,,,,,,
20,2016-08-18 19:00:00,1003.3179090737996,1002.3084626287132,1000.4190465241338,3.265502089089608,1.014255079137789,1001.023870603873,1004.4883405229164,2.0337035085050554,1.5426072933483963,5.0,0.0502970164380095,0.0502022668505373,0.0500029559658489,0.000296357933982,1.004560558657776,0.0500894601554538,0.0504012761576786,1.8731938709636609,0.0001369978769458,5.0,1,,,,,,,,,,,,,,,
21,2016-08-18 21:00:00,1000.7384847709787,1000.6046231568728,1000.060612370386,0.7182720793654706,1.05700756038293,1000.2195848223038,1000.9768830091608,1.8345107741681772,0.3850383345690034,5.0,0.0500655460289168,0.0500461560301107,0.0500573511075649,6.517947700326202e-05,1.0314890503101737,0.0500181322666982,0.0500930668272194,1.7938220125021882,3.14230079779404e-05,5.0,1,,,,,,,,,,,,,,,
22,2016-08-18 23:00:00,1002.0603028946514,1001.3433304164442,1000.1451477091326,2.2182143444037017,1.008348398378052,1000.4855819015438,1002.9140557291,2.3011912930575846,0.9563746738357396,5.0,0.0501936773916833,0.0501400765821042,0.0501030227843746,0.0001946345467894,1.0066802600037852,0.0500522715842791,0.0502688666977448,2.018384004487055,9.903609403469348e-05,5.0,1,,,,,,,,,,,,,,,
23,2016-08-19 01:00:00,1015.4391339607222,1011.1181756764396,1005.2449759547876,14.481473396058586,1.0046806313497103,1005.061584678026,1021.1096012579832,1.7303588752660974,7.241013495395919,5.0,0.0512626292012586,0.0508407437582877,0.0500520165176333,0.0013217770892304,1.0105765687779031,0.0503450969979206,0.0517233896983845,1.8834092138858325,0.0006083416187977,5.0,1,,,,,,,,,,,,,,,
