,datetime,Rho_org_mean,Rho_org_median,Rho_org_mode,Rho_org_std,Rho_org_rhat,Rho_org_25,Rho_org_75,Rho_org_skew,Rho_org_mad,Rho_org_n_chains,Kappa_org_mean,Kappa_org_median,Kappa_org_mode,Kappa_org_std,Kappa_org_rhat,Kappa_org_25,Kappa_org_75,Kappa_org_skew,Kappa_org_mad,Kappa_org_n_chains,D1_mean,D1_median,D1_mode,D1_std,D1_rhat,D1_25,D1_75,D1_skew,D1_mad,D1_n_chains,N1_mean,N1_median,N1_mode,N1_std,N1_rhat,N1_25,N1_75,N1_skew,N1_mad,N1_n_chains,D2_mean,D2_median,D2_mode,D2_std,D2_rhat,D2_25,D2_75,D2_skew,D2_mad,D2_n_chains,N2_mean,N2_median,N2_mode,N2_std,N2_rhat,N2_25,N2_75,N2_skew,N2_mad,N2_n_chains,season,NRMSE,Predicted_CCN,f_AS1,f_AS2,f_BC1,f_BC2,f_org1,f_org2,inorg_density,k1,k2,mass_accumulation,mass_aitken,predicted_CCN1,predicted_CCN2
0,2016-08-16 09:00:00,1056.3686997534328,1050.4628003824282,1069.367843454462,33.109618574426534,1.111374154769203,1035.8101131881483,1071.2318958039173,0.7261646999959857,18.905043072033777,5.0,0.1313177841211437,0.1337139515265672,0.1457398983852194,0.0138411762776251,1.481185140892155,0.1200969578752571,0.142853563446985,-0.8442399951612819,0.0092270025034279,5.0,51.00166003548974,50.99003109742785,51.06052229694004,0.4326931894345593,1.105451724763474,50.70138449613904,51.15881217977999,0.9468459548602708,0.2229588248564766,5.0,131.96277794421448,132.09662028459925,131.5682794697034,2.2880565457739275,1.160547711696551,131.4293969319979,132.97504818588067,-2.5982256830467256,0.6770418945914969,5.0,186.2595961295868,186.30156998057268,186.4202462268637,0.8382137918235892,1.1294135806342955,185.7899776161908,186.87171089352464,-0.3740938991962982,0.5701409129519561,5.0,194.25307092266743,194.0114497572046,191.26606932655184,2.9761594825149604,1.1396882674010933,192.300377018966,195.94811518716384,0.0421695608447212,1.7110727382385846,5.0,1,,,,,,,,,,,,,,,
1,2016-08-16 11:00:00,1331.716805382449,1338.657002566055,1307.570679201939,106.0710095094933,1.00330944389409,1266.0250339079255,1404.8808992213246,-0.3178922699856898,69.38227696289823,5.0,0.118343458624162,0.1230826672811233,0.1211794503725883,0.0237434184850469,1.0048376692235796,0.1015782274873393,0.1384509184505404,-0.6528188060639203,0.017753651458347,5.0,55.01604332258379,54.97506908053787,55.05049395648815,0.8396662953757609,1.0047468461657816,54.44889254020184,55.56806208246912,0.1345800378542807,0.5599292274385945,5.0,107.18623308746427,106.47803439828492,107.02336513208184,3.2048056799366504,1.0136931516189631,105.80683491488782,107.62425676829788,2.514961858467722,0.8279386512941613,5.0,170.45117563542794,170.43518042986432,170.42153124150346,1.0109162672449874,1.00966011344672,169.75440107037,171.12519215311903,-0.0138014730971992,0.6841524890716641,5.0,237.02691085412368,236.94185976267357,236.0561195080075,5.701911895564481,1.0067052617119894,233.24426899866,241.0186806334109,0.0284034744466294,3.865206683193037,5.0,1,,,,,,,,,,,,,,,
2,2016-08-16 13:00:00,2541.731289735203,2653.497736148484,2475.41641182475,212.94690745728172,1.9937868809408827,2475.41641182475,2717.6669143193603,-1.411787352293527,65.42366900305387,3.0,0.0782373787309414,0.0687859027934456,0.0687859027934456,0.0245904077306969,8.2382614402952,0.0585771926509022,0.1051668140170627,0.6308375756683732,0.0172179254085514,3.0,46.48201862891251,46.47609549192372,46.45306561410181,0.0366029628369318,2.1740958679160785,46.45306561410181,46.500196392249855,1.506947389471849,0.0230298778219122,3.0,65.66031416890256,65.23190688502301,65.23190688502301,3.842996124618621,1.7246795724019546,62.78222079624217,66.41415604099657,1.6442467860747918,1.1822491559735653,3.0,177.87951289034893,177.88121361970792,177.95633334191294,0.0719660970816856,2.751924940221826,177.84286352126745,177.95633334191294,-0.4883300720302042,0.0751197222050166,3.0,182.8745972582024,188.20497375805076,192.91551655667115,12.066663217511335,16.81327975046404,166.5315140396957,192.91551655667115,-0.6450674629998656,4.710542798620423,3.0,1,,,,,,,,,,,,,,,
3,2016-08-16 15:00:00,2999.073596151802,2999.344748876152,2999.7805354595466,0.893283087974252,1.5120516818632332,2998.163428283377,2999.7805354595466,-0.8780830083053515,0.5263962622152576,5.0,0.0505224381845118,0.0503821222561364,0.05001454271052,0.0005040148975831,1.013382104060963,0.0501586174082752,0.0507249260521166,1.8154298702943292,0.0002564343011566,5.0,58.69600038358192,58.83981278441651,58.404698765792986,0.7545826696678297,2.073089461495171,58.19953699820768,59.174329517653206,-0.7351026347489614,0.3755339554394794,5.0,39.715151223244185,39.41736759794189,39.08651081414149,1.5531188758727168,2.152319222932875,38.75890371841903,40.60812771850945,0.8906137058179556,0.8052070311194797,5.0,177.92078451716242,177.9203605681471,177.9125823022431,0.0079675512948575,2.6066522811951853,177.9125823022431,177.92708907073083,-0.0400796823588971,0.0077782659039939,5.0,146.8529981824171,146.87894113026212,146.76649785188496,0.0572368250154282,2.227890139576279,146.8049031224657,146.89118002308012,-0.2165648687174039,0.0260248538504868,5.0,1,,,,,,,,,,,,,,,
4,2016-08-17 11:00:00,1310.052905136563,1303.8520583056654,1300.2326064795068,46.286018066454254,1.1787369395571892,1280.4991435337297,1335.9395705515208,0.3254835069266235,23.35291477193573,5.0,0.1459340064399686,0.1470487817873555,0.1497557339720253,0.0042035437066826,1.379300811318751,0.1435333331731133,0.149290393808122,-1.661379142806823,0.0022416120207665,5.0,56.80690033972935,57.06039891568732,55.856613196286894,0.7396466266464229,1.3788893548964525,56.17131113639083,57.405008855176085,-0.1886206916399264,0.4831033190693858,5.0,608.9867745009119,607.9706069023163,631.8321945133994,18.633991008666698,1.4320207522418222,594.5026271923108,624.8221923901585,0.2188669049961432,13.467979710005466,5.0,168.56888683316072,168.70570505862935,169.62542596730574,1.2555098866864676,1.4696270223902514,167.52374482129588,169.62542596730574,-0.3324480180628905,0.9197209086763962,5.0,298.665981203354,297.45143542315327,296.2181321747331,5.789152969343914,1.1606742430952968,296.2181321747331,301.35802163532355,-0.0747026262135322,2.1537619248535407,5.0,1,,,,,,,,,,,,,,,
5,2016-08-17 13:00:00,1256.887595328845,1257.4411280238232,1248.1773445258495,51.7606929164889,1.3765890062379218,1224.8600510916228,1275.904045324938,0.4047917217643725,18.462917301114658,5.0,0.1430322759239163,0.1441811716362259,0.1474334253471025,0.0057006726443017,1.8594731010838508,0.1390463044902874,0.1474334253471025,-1.1826664495475263,0.0032522537108765,5.0,59.76091053797544,59.49787752404176,60.2994084746733,0.5914687921761562,1.362171670626204,59.41423582902411,60.2994084746733,0.3090874813835934,0.5129642187311703,5.0,542.7034673441225,542.3734716515509,529.1929545360197,13.99281265406589,1.3275769922042622,529.1929545360197,554.4069675869579,-0.0242433273225049,12.184960237059729,5.0,157.493869778176,157.22587389095486,156.97808855488316,0.9449964830375728,1.297455220585848,156.97808855488316,158.17309057979895,-0.0026097472409067,0.3305270850362944,5.0,345.37978164506035,344.2970269182107,351.4309534129551,7.437504256447698,1.2095886549788537,343.3759482144966,351.4309534129551,-0.3085066909177351,4.346248652853546,5.0,1,,,,,,,,,,,,,,,
6,2016-08-17 15:00:00,1849.7730632372247,1846.6475045352,1885.7368041417733,60.59281695553944,1.1443432937600349,1808.1174625820067,1890.6012115013216,0.0743628256399477,41.64273173765582,5.0,0.1472141874833477,0.1480691230562343,0.1489619555479173,0.0026745058633044,1.0061883659965731,0.1460786231619885,0.1491534714432151,-1.663308830352147,0.0013015535888188,5.0,48.70827721218042,48.713947614772245,50.6858339643729,1.0179418078752422,1.0527634178984768,47.96201996597654,49.40606988810748,0.0872491601526386,0.7283153792414723,5.0,254.6006193780861,254.3759928847529,264.5817794927747,17.316416900290108,1.0344210497732165,242.79792919037988,266.29303925844107,0.2289515946824185,11.689640278015872,5.0,106.38379687785168,106.46994500296032,106.99256136492966,0.9140527836107628,1.1333111856441211,105.73467614370055,106.99598941215476,-0.1710211648832336,0.6203313747430172,5.0,699.387284746536,699.5117947802494,708.2342826687557,10.293598619784277,1.0187880316767413,693.0867271991893,705.8666987372904,-0.1947682866827906,6.415006217521977,5.0,1,,,,,,,,,,,,,,,
7,2016-08-17 17:00:00,1633.112164474668,1627.2686816851597,1699.9495591435614,92.64075984803225,1.1836774095524734,1577.6062744835958,1699.9495591435614,-0.4279044608504373,72.68087745840171,5.0,0.1447583695164667,0.1452212195791076,0.1442004474959411,0.0039628956090943,1.1389797829795467,0.1434318781299748,0.1481718603627017,-0.903149951955406,0.0028634406806321,5.0,55.65731568319142,55.682425442768455,54.79850226198506,1.0331249283784258,1.2424308765759826,54.79850226198506,56.37079037952203,-0.2978621764335729,0.7322250548752578,5.0,251.87403258631863,249.48904703497183,241.68073044619368,13.063769091408885,1.2786460664067172,241.8656861167738,257.21220663853114,1.4457174368165375,7.623360918198074,5.0,111.60926759216376,111.45136123985324,111.23890801002096,0.9836618364189426,1.0716364027477332,111.01056962463582,112.33638418082914,0.1513819529532699,0.7931659664073294,5.0,709.1988674533338,710.1411298905281,709.9155830352053,4.339605048487069,1.1282266948283397,708.6017052348052,711.1939050421389,-2.1453221171728285,1.215543324086639,5.0,1,,,,,,,,,,,,,,,
8,2016-08-17 19:00:00,1629.6765768137377,1639.2699104999645,1690.2829746538414,86.20417805923948,1.016134105567089,1578.179425290104,1684.8313033314355,0.0232647918810961,50.8355284935385,5.0,0.144806732301846,0.1463011731867318,0.1467918063997153,0.004798706043876,1.0100044854290986,0.1426947742584072,0.148359460406429,-1.528783029069258,0.0024269585657235,5.0,21.053923808548223,21.05341234757885,21.05341234757885,0.0089827247475343,1.0275352151335124,21.04756830103286,21.060409664632427,-0.6115010497764346,0.0065064841574127,5.0,335.0494373695898,337.86849560425856,337.96453760624144,10.060092767216668,1.0299234979171936,335.9908184781097,338.7948372061375,-3.843691703352807,1.2070149932358731,5.0,99.00560747317658,99.00789525830744,99.00789525830744,0.0090283625826142,1.42721693551162,99.0006253618682,99.01040958258938,-0.9404163147963358,0.0025143242819325,5.0,960.493147626652,960.0532525753932,956.0315734161906,9.372004016713348,1.00552805302934,954.272883168602,966.4084611995106,0.2267533004903669,6.098884775513966,5.0,1,,,,,,,,,,,,,,,
9,2016-08-17 21:00:00,1934.9144148323935,1949.5679500414649,2154.333760311276,132.0242430790251,1.012573494817195,1838.4738071845331,2043.203990637368,-0.3321867848544843,100.68306222395675,3.0,0.1425865304343372,0.1444500624896888,0.1478550408457882,0.0066138601306527,1.00420237259456,0.1390643385049562,0.1476150596149078,-1.3742733360123067,0.0038197269444618,3.0,27.347664168564247,27.308067175927693,27.18878021000363,0.5937340454859795,1.0136933604053024,26.975572543935805,27.73110419992001,0.1545759025452406,0.3740403575964883,3.0,357.4721423064209,358.7904149293785,358.5465035599173,8.267028030641473,1.0112293736353095,357.54629690531266,359.9264889406255,-4.761008449196958,1.169073665920337,3.0,105.10842264211914,105.10655098814571,105.10655098814571,0.0042467770669409,1.1111181951763391,105.10655098814571,105.1100017153498,0.9936148841365507,0.0012535416154548,3.0,870.7601697570739,870.5598996777913,877.0217722215216,9.16817940305902,1.0157444636828412,863.803277296848,877.0792764289986,0.0887585596085342,6.595219198151312,3.0,1,,,,,,,,,,,,,,,
