,Unnamed: 0,datetime,NRMSE,predicted_CCN1,predicted_CCN2,inorg_density,Predicted_CCN,f_org1,f_AS1,f_BC1,f_org2,f_AS2,f_BC2,k1,k2,mass_aitken,mass_accumulation
0,0.0,2016-08-16 09:00:00,0.0652855595696476,[ 4.6287644  14.49518964 22.2538431  31.53132205 38.94205135],[106.00048408 174.75543632 201.70215004 219.08349077 225.64928652],1768.0868367955495,[110.62924847 189.25062597 223.95599315 250.61481283 264.59133787],0.2190516527433733,0.7572117404215498,0.0237366068350767,0.5802629675365019,0.3960004256284213,0.0237366068350768,0.4757671394647488,0.2939434787804816,0.0550476600209818,3.165900583585843
1,1.0,2016-08-16 11:00:00,0.0503623386945529,[ 4.96051181 20.89989675 37.32514218 63.0947538  91.01093617],[107.74024245 173.42699037 198.36933277 214.40134692 220.15961105],1766.6899569673171,[112.70075426 194.32688712 235.69447494 277.49610072 311.17054723],0.1554681931969682,0.8147322474318125,0.0297995593712193,0.6252126160927113,0.3449878245360693,0.0297995593712193,0.507739590565591,0.2699901442894637,0.0598175878094359,3.5575199266389936
2,2.0,2016-08-16 13:00:00,0.2122582160717992,[ 0.2563848   2.39031574  6.53563406 18.42315941 46.85537739],[102.11711733 145.6575682  159.29637074 166.77166645 169.00653991],1768.244799816189,[102.37350213 148.04788394 165.8320048  185.19482586 215.8619173 ],0.930712311039741,0.0255314515954479,0.0437562373648112,0.5921806097698412,0.3640631528653477,0.0437562373648112,0.1262682045565803,0.277168854024766,0.0336861851175952,4.198730466005364
3,3.0,2016-08-16 15:00:00,0.1614431268994046,[ 5.50903372 17.22291603 26.74922451 38.27546094 47.51180249],[51.00889125 61.3313028  63.58293844 64.49528596 64.69869369],1764.12286287699,[ 56.51792497  78.55421882  90.33216295 102.77074689 112.21049619],0.0400456113568357,0.9025041424345748,0.0574502462085895,0.7896118743102425,0.1529378794811678,0.0574502462085896,0.5578236267420903,0.1805838143197429,0.0537148432212889,4.5966269361382
4,4.0,2016-08-17 11:00:00,0.053954152678227,[ 37.63737007 135.51461261 225.28984357 349.10962063 463.50849972],[106.12344555 183.83901262 216.96997307 239.18091461 248.34372021],1765.764016766627,[143.76081562 319.35362524 442.25981664 588.29053524 711.85221994],0.0715234808782112,0.8799990879271998,0.048477431194589,0.7292714177761342,0.2222511510292767,0.048477431194589,0.5439222409276379,0.2121728647705259,0.3933889238710172,3.90355085812563
5,5.0,2016-08-17 13:00:00,0.0791445627973984,[ 39.93765022 139.65448255 229.33689914 349.03773555 456.67228605],[110.51801855 199.19271837 239.18011031 267.33555637 279.46509288],1767.1748776563504,[150.45566877 338.84720092 468.51700944 616.37329192 736.13737894],0.0529375435822556,0.8977852011559514,0.0492772552617929,0.7012079306828288,0.2495148140553782,0.0492772552617929,0.5525870706705315,0.2240940446860262,0.4103017330018414,3.67481745624967
6,6.0,2016-08-17 15:00:00,0.0509978028313427,[ 8.53925054 26.10587503 39.64335579 55.02098585 67.44807133],[120.87224247 329.36913599 479.37604866 633.86295508 743.08297786],1762.9013796956344,[129.41149301 355.47501101 519.01940445 688.88394093 810.53104919],0.3778449363603495,0.5696782652216879,0.0524767984179625,0.7408634276546401,0.2066597739273974,0.0524767984179625,0.3798831102083562,0.2054286490950692,0.1243893687681849,3.2626387679188915
7,7.0,2016-08-17 17:00:00,0.0484785225474913,[ 14.06981179  50.92454153  84.04560746 129.8292564  172.45083802],[118.8678551  314.65502705 450.18453563 587.93226364 683.34804947],1763.7595027847444,[132.93766689 365.57956858 534.23014309 717.76152004 855.79888749],0.1566025061676413,0.7968674559507629,0.0465300378815958,0.7717387859625138,0.1817311761558904,0.0465300378815958,0.4996379684713219,0.1945496470829307,0.1570868090755531,3.3715598322789555
8,8.0,2016-08-17 19:00:00,0.0392076326600043,"[5.35955239e-03 1.45141151e-01 7.23332186e-01 4.21897722e+00
 2.69513700e+01]",[123.32393008 364.7962025  551.10007046 760.00367602 923.48599252],1761.811643693707,[123.32928963 364.94134365 551.82340265 764.22265324 950.43736249],0.881469759368791,0.0568819456023313,0.0616482950288776,0.7610230566276275,0.1773286483434949,0.0616482950288776,0.1381943374478716,0.1915409191250154,0.0105519724486911,3.475817257590353
9,9.0,2016-08-17 21:00:00,0.0374368964677465,[ 0.09583764  1.49539215  5.48476364 21.48983908 83.67708527],[140.85808942 377.78073903 543.51036125 714.83828253 835.53682713],1762.176929143527,[140.95392706 379.27613118 548.99512489 736.32812161 919.2139124 ],0.810005986556776,0.1269530020842971,0.0630410113589268,0.7636695223849119,0.1732894662561611,0.0630410113589269,0.1688030433225821,0.1895175171760595,0.029113485084188,4.056513926362942
