datetime,Rho_org_mean,Rho_org_median,Rho_org_mode,Rho_org_std,Rho_org_rhat,Rho_org_25,Rho_org_75,Rho_org_skew,Rho_org_mad,Rho_org_n_chains,Kappa_org_mean,Kappa_org_median,Kappa_org_mode,Kappa_org_std,Kappa_org_rhat,Kappa_org_25,Kappa_org_75,Kappa_org_skew,Kappa_org_mad,Kappa_org_n_chains,D1_mean,D1_median,D1_mode,D1_std,D1_rhat,D1_25,D1_75,D1_skew,D1_mad,D1_n_chains,N1_mean,N1_median,N1_mode,N1_std,N1_rhat,N1_25,N1_75,N1_skew,N1_mad,N1_n_chains,D2_mean,D2_median,D2_mode,D2_std,D2_rhat,D2_25,D2_75,D2_skew,D2_mad,D2_n_chains,N2_mean,N2_median,N2_mode,N2_std,N2_rhat,N2_25,N2_75,N2_skew,N2_mad,N2_n_chains
2016-08-16 09:00:00,1056.3686997534328,1050.4628003824282,1069.367843454462,33.109618574426534,1.1113741547692033,1035.8101131881485,1071.2318958039173,0.7261646999959857,18.905043072033777,5.0,0.13131778412114378,0.1337139515265672,0.1457398983852194,0.013841176277625112,1.481185140892155,0.12009695787525715,0.14285356344698505,-0.8442399951612819,0.009227002503427978,5.0,51.00166003548974,50.99003109742785,51.06052229694004,0.4326931894345593,1.105451724763474,50.70138449613904,51.15881217977999,0.9468459548602709,0.22295882485647667,5.0,131.96277794421448,132.09662028459925,131.5682794697034,2.2880565457739275,1.160547711696551,131.4293969319979,132.97504818588067,-2.5982256830467256,0.6770418945914969,5.0,186.2595961295868,186.30156998057268,186.4202462268637,0.8382137918235892,1.1294135806342955,185.78997761619078,186.87171089352464,-0.37409389919629826,0.5701409129519561,5.0,194.25307092266746,194.0114497572046,191.26606932655184,2.9761594825149604,1.1396882674010933,192.300377018966,195.94811518716384,0.042169560844721225,1.7110727382385846,5.0
2016-08-16 11:00:00,1331.7168053824487,1338.6570025660553,1307.5706792019387,106.0710095094933,1.00330944389409,1266.0250339079255,1404.8808992213246,-0.3178922699856898,69.38227696289823,5.0,0.11834345862416201,0.12308266728112337,0.12117945037258838,0.023743418485046953,1.0048376692235796,0.10157822748733937,0.13845091845054042,-0.6528188060639203,0.017753651458347022,5.0,55.01604332258379,54.97506908053787,55.05049395648815,0.8396662953757609,1.0047468461657816,54.44889254020184,55.56806208246912,0.13458003785428072,0.5599292274385945,5.0,107.18623308746427,106.47803439828493,107.02336513208185,3.2048056799366504,1.0136931516189633,105.80683491488782,107.62425676829788,2.514961858467722,0.8279386512941613,5.0,170.45117563542794,170.43518042986432,170.42153124150346,1.0109162672449874,1.00966011344672,169.75440107037,171.12519215311903,-0.013801473097199202,0.6841524890716641,5.0,237.02691085412366,236.94185976267354,236.0561195080075,5.701911895564481,1.0067052617119894,233.24426899865998,241.0186806334109,0.028403474446629474,3.865206683193037,5.0
2016-08-16 13:00:00,2541.731289735203,2653.497736148484,2475.41641182475,212.94690745728175,1.9937868809408827,2475.41641182475,2717.6669143193603,-1.411787352293527,65.42366900305387,3.0,0.07823737873094141,0.06878590279344561,0.06878590279344561,0.024590407730696994,8.2382614402952,0.05857719265090222,0.10516681401706272,0.6308375756683732,0.01721792540855141,3.0,46.48201862891251,46.47609549192372,46.45306561410181,0.03660296283693188,2.1740958679160785,46.45306561410181,46.500196392249855,1.506947389471849,0.023029877821912237,3.0,65.66031416890256,65.23190688502301,65.23190688502301,3.842996124618621,1.7246795724019546,62.78222079624217,66.41415604099657,1.6442467860747918,1.1822491559735653,3.0,177.87951289034893,177.88121361970792,177.95633334191294,0.07196609708168561,2.751924940221826,177.84286352126745,177.95633334191294,-0.4883300720302042,0.07511972220501661,3.0,182.87459725820239,188.20497375805073,192.91551655667115,12.066663217511335,16.81327975046404,166.5315140396957,192.91551655667115,-0.6450674629998656,4.710542798620423,3.0
2016-08-16 15:00:00,2999.073596151802,2999.3447488761517,2999.7805354595466,0.893283087974252,1.5120516818632332,2998.1634282833766,2999.7805354595466,-0.8780830083053515,0.5263962622152576,5.0,0.05052243818451186,0.050382122256136495,0.050014542710520006,0.0005040148975831684,1.013382104060963,0.050158617408275284,0.050724926052116696,1.8154298702943295,0.000256434301156655,5.0,58.69600038358192,58.83981278441651,58.404698765792986,0.7545826696678297,2.073089461495171,58.199536998207684,59.174329517653206,-0.7351026347489614,0.3755339554394794,5.0,39.715151223244185,39.41736759794189,39.08651081414149,1.5531188758727168,2.152319222932875,38.75890371841903,40.60812771850945,0.8906137058179556,0.8052070311194797,5.0,177.92078451716242,177.9203605681471,177.9125823022431,0.007967551294857511,2.6066522811951853,177.9125823022431,177.92708907073083,-0.040079682358897153,0.007778265903993997,5.0,146.8529981824171,146.87894113026212,146.76649785188496,0.05723682501542823,2.227890139576279,146.8049031224657,146.89118002308012,-0.2165648687174039,0.026024853850486807,5.0
2016-08-17 11:00:00,1310.052905136563,1303.8520583056654,1300.2326064795068,46.286018066454254,1.1787369395571892,1280.4991435337297,1335.9395705515208,0.3254835069266235,23.35291477193573,5.0,0.1459340064399686,0.14704878178735556,0.1497557339720253,0.004203543706682654,1.379300811318751,0.14353333317311331,0.14929039380812206,-1.661379142806823,0.0022416120207665036,5.0,56.806900339729346,57.060398915687315,55.856613196286894,0.7396466266464229,1.3788893548964523,56.17131113639083,57.405008855176085,-0.18862069163992642,0.48310331906938586,5.0,608.9867745009119,607.9706069023163,631.8321945133994,18.633991008666698,1.4320207522418222,594.5026271923108,624.8221923901585,0.21886690499614328,13.467979710005466,5.0,168.56888683316072,168.70570505862935,169.62542596730574,1.2555098866864676,1.4696270223902514,167.52374482129588,169.62542596730574,-0.3324480180628905,0.9197209086763962,5.0,298.66598120335397,297.45143542315327,296.2181321747331,5.789152969343914,1.1606742430952968,296.2181321747331,301.35802163532355,-0.0747026262135322,2.1537619248535407,5.0
2016-08-17 13:00:00,1256.887595328845,1257.4411280238232,1248.1773445258495,51.7606929164889,1.3765890062379218,1224.8600510916228,1275.904045324938,0.40479172176437256,18.462917301114658,5.0,0.14303227592391637,0.1441811716362259,0.1474334253471025,0.005700672644301734,1.8594731010838508,0.13904630449028746,0.1474334253471025,-1.1826664495475265,0.0032522537108765903,5.0,59.76091053797544,59.49787752404176,60.2994084746733,0.5914687921761562,1.3621716706262041,59.41423582902411,60.2994084746733,0.30908748138359343,0.5129642187311703,5.0,542.7034673441225,542.3734716515509,529.1929545360197,13.99281265406589,1.3275769922042622,529.1929545360197,554.4069675869579,-0.02424332732250499,12.184960237059727,5.0,157.493869778176,157.22587389095486,156.97808855488316,0.9449964830375729,1.297455220585848,156.97808855488316,158.17309057979895,-0.0026097472409067966,0.33052708503629447,5.0,345.37978164506035,344.2970269182107,351.4309534129551,7.437504256447698,1.2095886549788535,343.3759482144966,351.4309534129551,-0.3085066909177351,4.3462486528535464,5.0
2016-08-17 15:00:00,1849.7730632372252,1846.6475045352001,1885.7368041417733,60.59281695553944,1.1443432937600349,1808.1174625820067,1890.6012115013216,0.07436282563994778,41.64273173765582,5.0,0.14721418748334777,0.14806912305623438,0.14896195554791739,0.0026745058633044906,1.0061883659965731,0.14607862316198855,0.1491534714432151,-1.663308830352147,0.0013015535888188934,5.0,48.70827721218042,48.713947614772245,50.685833964372904,1.0179418078752422,1.0527634178984768,47.96201996597654,49.40606988810748,0.08724916015263864,0.7283153792414723,5.0,254.6006193780861,254.37599288475292,264.5817794927747,17.316416900290108,1.0344210497732163,242.79792919037988,266.29303925844107,0.22895159468241855,11.689640278015872,5.0,106.38379687785167,106.46994500296032,106.99256136492966,0.9140527836107628,1.1333111856441211,105.73467614370055,106.99598941215477,-0.1710211648832336,0.6203313747430172,5.0,699.387284746536,699.5117947802494,708.2342826687557,10.293598619784275,1.0187880316767413,693.0867271991893,705.8666987372904,-0.19476828668279067,6.415006217521977,5.0
2016-08-17 17:00:00,1633.1121644746681,1627.2686816851597,1699.9495591435614,92.64075984803225,1.1836774095524734,1577.6062744835958,1699.9495591435614,-0.4279044608504373,72.68087745840171,5.0,0.1447583695164667,0.1452212195791076,0.1442004474959411,0.003962895609094331,1.1389797829795467,0.14343187812997485,0.1481718603627017,-0.9031499519554061,0.002863440680632129,5.0,55.65731568319142,55.682425442768455,54.798502261985064,1.0331249283784258,1.2424308765759826,54.798502261985064,56.37079037952203,-0.2978621764335729,0.7322250548752578,5.0,251.87403258631863,249.48904703497186,241.68073044619368,13.063769091408885,1.2786460664067172,241.8656861167738,257.21220663853114,1.4457174368165375,7.623360918198074,5.0,111.60926759216376,111.45136123985323,111.23890801002096,0.9836618364189426,1.0716364027477332,111.01056962463582,112.33638418082914,0.1513819529532699,0.7931659664073294,5.0,709.1988674533338,710.1411298905281,709.9155830352053,4.339605048487069,1.1282266948283397,708.6017052348052,711.1939050421389,-2.1453221171728285,1.2155433240866387,5.0
2016-08-17 19:00:00,1629.6765768137375,1639.2699104999645,1690.2829746538414,86.20417805923948,1.016134105567089,1578.179425290104,1684.8313033314355,0.023264791881096158,50.835528493538504,5.0,0.14480673230184601,0.14630117318673186,0.1467918063997153,0.004798706043876023,1.0100044854290986,0.1426947742584072,0.14835946040642908,-1.5287830290692581,0.002426958565723558,5.0,21.053923808548223,21.05341234757885,21.05341234757885,0.008982724747534398,1.0275352151335124,21.04756830103286,21.060409664632427,-0.6115010497764346,0.0065064841574127286,5.0,335.0494373695898,337.86849560425856,337.96453760624144,10.060092767216668,1.0299234979171936,335.9908184781097,338.7948372061375,-3.843691703352807,1.2070149932358731,5.0,99.00560747317658,99.00789525830744,99.00789525830744,0.009028362582614217,1.42721693551162,99.0006253618682,99.01040958258938,-0.9404163147963358,0.002514324281932545,5.0,960.4931476266519,960.0532525753933,956.0315734161906,9.372004016713348,1.00552805302934,954.2728831686021,966.4084611995106,0.2267533004903669,6.098884775513966,5.0
2016-08-17 21:00:00,1934.9144148323937,1949.5679500414649,2154.333760311276,132.0242430790251,1.012573494817195,1838.4738071845334,2043.2039906373677,-0.3321867848544843,100.68306222395677,3.0,0.1425865304343372,0.14445006248968886,0.14785504084578824,0.00661386013065271,1.00420237259456,0.1390643385049562,0.14761505961490784,-1.3742733360123067,0.0038197269444618376,3.0,27.347664168564247,27.308067175927693,27.18878021000363,0.5937340454859795,1.0136933604053024,26.975572543935805,27.73110419992001,0.15457590254524067,0.37404035759648835,3.0,357.47214230642095,358.7904149293785,358.5465035599173,8.267028030641473,1.0112293736353097,357.54629690531266,359.9264889406255,-4.761008449196958,1.1690736659203367,3.0,105.10842264211914,105.10655098814573,105.10655098814573,0.0042467770669409564,1.1111181951763391,105.10655098814573,105.1100017153498,0.9936148841365507,0.0012535416154548784,3.0,870.7601697570739,870.5598996777913,877.0217722215216,9.168179403059021,1.0157444636828412,863.803277296848,877.0792764289986,0.08875855960853422,6.595219198151312,3.0
