datetime,M_org1_mean,M_org1_median,M_org1_mode,M_org1_std,M_org1_rhat,M_org1_25,M_org1_75,M_org1_skew,M_org1_mad,M_org1_n_chains,D1_mean,D1_median,D1_mode,D1_std,D1_rhat,D1_25,D1_75,D1_skew,D1_mad,D1_n_chains,N1_mean,N1_median,N1_mode,N1_std,N1_rhat,N1_25,N1_75,N1_skew,N1_mad,N1_n_chains,D2_mean,D2_median,D2_mode,D2_std,D2_rhat,D2_25,D2_75,D2_skew,D2_mad,D2_n_chains,N2_mean,N2_median,N2_mode,N2_std,N2_rhat,N2_25,N2_75,N2_skew,N2_mad,N2_n_chains
2016-08-16 09:00:00,0.015204425936214874,0.012058280907251405,0.007151720441223185,0.012548612593607733,1.0070762041161176,0.005077072471903941,0.02191564443261302,0.9972536476300164,0.008043514676546997,5.0,75.77747670223333,72.61512356553722,67.10405804925908,13.554482356260177,1.0071529374417574,66.8669390823603,80.58031742034046,1.9189406725378666,6.619317381854287,5.0,41.812102489816105,41.61760571984384,53.21130408561841,16.63356036328882,1.0055616469864372,29.95667602851514,53.21130408561841,0.27204641564282167,11.593698365774571,5.0,161.60625135180206,161.75840827399318,169.1239748103321,5.098140444841788,1.0024418858279192,157.88292982831354,165.36027977699703,-0.058354087068324734,3.73390835160896,5.0,226.80420053362508,226.71358302948033,210.12010123867933,12.213555219352806,1.0034004583396336,218.2139156016258,235.2279975908004,0.06998967855517339,8.499667427854519,5.0
2016-08-16 11:00:00,0.012579239875017547,0.009299732298134047,0.03451349562189709,0.011072263181965457,1.0191274432894055,0.0044233720660329075,0.01758596429832353,1.4478823597479966,0.0059631785291629665,5.0,54.63221146089548,54.68310272368267,54.216559061969534,0.8931468576806879,1.004299203372633,54.06573365418182,55.24028258642306,-0.3705107880206257,0.5832705269614138,5.0,107.31103769856935,106.60352655862145,105.62275178399294,3.4584098901194635,1.0070757748997194,105.66443490962037,108.08756608054907,1.9401436751727241,1.124195050273542,5.0,170.45968131217668,170.60192841141998,169.6204946331351,2.2408716775765085,1.008375828528848,169.7401373161579,171.40508503142496,-2.1373698831798253,0.8396664081641632,5.0,221.5900794538618,221.11377655052854,234.48648103606448,8.39908366212858,1.0146855446572745,214.4883065736867,226.3959056711788,1.0466207271652872,6.008514333411455,5.0
2016-08-16 13:00:00,0.03091747127597352,0.031352147200909605,0.03134320393667343,0.0015451967794137733,1.0255006247139369,0.03034401154073828,0.031930438116377004,-1.78344975418869,0.0006959032825843564,4.0,46.49727246300839,46.50935470489912,46.50935470489912,0.07797106979477747,1.0170246523253779,46.500388214870945,46.5148795224877,-8.006426053982747,0.008966490028171847,4.0,96.51399374612991,97.14665982500689,97.60080675600615,2.398025188716324,1.0168731952008951,95.82491476745285,97.8674232063855,-1.293359099931301,0.979754613045543,4.0,199.84587016088616,199.52107406755204,196.75450073175287,2.2712749696084757,1.0345818101920363,198.32343608141724,201.1320916813611,0.9251380659010893,1.3487645413414384,4.0,169.45684379302728,169.54855640313042,173.26173957472258,3.1600285407539643,1.021088421757289,167.4726760896826,171.6176591493656,-0.24003465572327135,2.0695560638809525,4.0
2016-08-16 15:00:00,0.003351652977633649,0.0021510437357331446,0.00043445091110318456,0.0035505836446482917,1.0171961384331198,0.0007904831679132664,0.0046248150943481,1.8363654350399543,0.001597765580140255,5.0,68.26907815098915,68.14276714874124,66.96751558610241,2.1324477572949294,1.0335458713236008,66.60775722378092,69.73361737044124,0.18654739205811505,1.548953292132623,5.0,51.04704227528391,50.894047476567636,53.77500397441146,4.466851163408435,1.0256378439468912,47.88811844335323,53.89128855815168,0.1738230469472785,3.0059290332144073,5.0,311.9554422882425,311.29482782556187,310.4950691172265,7.371852267790274,1.0157154708210847,306.81685182929544,316.25700278843374,0.5720533435586359,4.580034154440511,5.0,65.84144636303118,65.65517244640598,65.02955809382631,2.6415067770247913,1.012892065770241,64.09233321499933,67.51719381981962,0.08117722082887614,1.7455941565432624,5.0
2016-08-17 11:00:00,0.03209877553718303,0.02813654517418882,0.043052672751552126,0.022536415147897202,1.0043189976881048,0.014003082141770424,0.04654991770300454,0.8117317185893709,0.015751915703493213,5.0,60.66962956054285,60.79704496705857,62.693828347792156,1.258142634811301,1.0050409919783982,59.77910941457474,61.65983612265798,-0.3721220041210531,0.9201540968807436,5.0,514.8061875137709,514.7264287833359,488.94769855937653,14.785054528027358,1.0068786418994555,504.8159846121698,525.0963944558962,-0.034877387990493135,10.144958179843456,5.0,169.42069519742205,169.32711506626413,169.20842849841583,1.7434188898390468,1.0036634124728894,168.58961586179245,170.19133495148012,-0.11391625257588625,0.7935098130821814,5.0,250.79649157475515,249.92596958135545,249.25396348162664,4.284670716155206,1.0107126783237117,249.15790863885198,251.18188720240133,3.54005230409057,0.9191441011895449,5.0
2016-08-17 13:00:00,0.02556683034517183,0.021720365872660012,0.023362837891393717,0.01955133563877188,1.0086042324608921,0.009624620330105634,0.0375069137353376,0.9090670882830164,0.013271508387774847,5.0,61.80903713840087,62.01625269743417,62.99551551031518,1.1378745302062074,1.0056305480441605,61.09887218503315,62.63109245831199,-0.7299095554819783,0.7240052875527994,5.0,503.32454505004705,502.92210219845794,496.9495120901019,13.348441450409254,1.0069359010254642,494.28922067373685,511.46265795751304,0.06886930694948049,8.577459072148372,5.0,158.61434655069615,158.51521468537382,157.82711867755066,1.655094476070168,1.0049188247096743,157.72153107015785,159.42484941167555,0.07715467981801807,0.8611759700451387,5.0,282.65129296431587,281.5906710810542,281.35433819562166,4.652876868165737,1.0077987567348117,280.71249119745886,282.8839934444107,3.1829657754135465,1.064072111840403,5.0
2016-08-17 15:00:00,0.047476240843297025,0.04699989312611896,0.06633534265733869,0.028159100081816768,1.0866008219536636,0.022660558952115953,0.06633534265733869,0.36965102189275795,0.022781009823556398,5.0,80.21843808487979,80.21449525858476,87.26036316829631,4.283641873888463,1.2365550952371063,76.83119732760423,82.55040544885479,0.23213887647251386,3.0193291711514405,5.0,72.52150874016715,71.69119379747302,59.8993575206038,9.681430731587735,1.211778036574331,65.97449173079747,79.42780515119162,0.03274715278205428,6.999477803810706,5.0,107.6318610835373,107.98863658022555,108.05369432937353,0.851375166208851,1.0796325114002767,107.18842787468786,108.27564915012735,-1.1923235987103902,0.3946848502154978,5.0,775.8180225533089,775.5193938131974,775.8168755568614,4.381725665481666,1.0119191298903978,774.6065401256774,776.3691406119384,1.5570101666618283,0.9112517226917589,5.0
2016-08-17 17:00:00,0.028264655822695026,0.0246001879871094,0.014702212327279392,0.021597632102594938,1.1568572329790046,0.012967651631848053,0.03763326560063033,2.289809663105254,0.0120248644338797,4.0,62.295673139307475,62.50732970888698,56.26281772899097,3.3125470340060867,1.3198189422415432,60.89797605007639,64.3952618643397,-0.3728229513109551,1.76582617473764,4.0,204.0522765336417,191.60464484447985,297.8521234473394,39.175152998961934,1.5119067597003433,183.15608320891238,206.60428921592234,1.641737581813898,9.649115063046366,4.0,113.63925847241224,112.57816777921545,120.23235469979086,2.6334930342235054,1.5602366533338905,112.08222966820647,114.05982792821005,1.6767572175397902,0.6349706477704871,4.0,700.1404712023033,710.5361057655027,623.0770947281045,29.309112857592382,1.685479164193441,708.8471787719432,711.5368218121904,-2.094828540095798,1.2783147690769283,4.0
2016-08-17 19:00:00,0.009241228040041858,0.009301244615213915,0.009301244615213915,0.0006007065132281544,1.06508097801356,0.009244693837271787,0.009715393818206446,-2.5422214428940313,7.854837035272885e-05,3.0,21.051822246986664,21.05744254753117,21.05744254753117,0.09397082059341165,1.0191283911570899,21.04848680947445,21.093476780158447,-5.3770956509803565,0.0154584091475094,3.0,338.3403562290729,337.3034278087263,337.3034278087263,6.603373514966625,1.0225529058814007,337.3034278087263,339.33706611497183,0.023065761083900717,1.27649470962956,3.0,102.31151796776258,102.2129075623633,102.2129075623633,1.493091678524575,1.8275577646551007,101.59947664776773,103.42121789022228,-0.28037855331642203,0.6134309145955683,3.0,974.7061748097054,978.0770116353142,978.0770116353142,11.500923089415412,1.5176275454320598,965.5921945286256,978.8478526992301,-0.6868490284969319,3.281679469483265,3.0
2016-08-17 21:00:00,0.02261320569522343,0.023582097207723737,0.026010333769780812,0.0037512461236832075,1.0815844171947702,0.0208890078358784,0.025089961936206166,-1.006984836806568,0.0021612092228248288,5.0,28.841998764331514,28.929480657427224,28.996690906073724,0.5015154726571961,1.034843763877838,28.498752253519328,29.152060701729898,-0.21102973511156167,0.3300207916851434,5.0,359.2482487764773,359.057887112749,360.0182413774526,6.117642595750092,1.0150752509815362,358.1658959274498,360.0182413774526,4.387557978310124,0.9603542647036534,5.0,111.86297163890983,112.01467376369318,110.86547395628592,2.501008550209633,1.0620448211501698,110.5694254299428,113.65132488459003,-0.44299901845250744,1.6177464297818034,5.0,867.9576960610453,870.6233652035255,879.8234142428557,22.32490921682393,1.0552306280809929,855.8870504887468,880.3522121637031,-0.18479963731209473,12.62553512867919,5.0
